# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403636858701666560, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.729404796841013364e-02, -8.096992564014456883e-01, 0.000000000000000000e+00, 5.856588325715542664e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403636858751666432, -5.031472355811843471e-04, 1.054891958980718315e-04, 3.537140638287143224e-04, -3.909559983344278872e-02, -8.113211484876738933e-01, -2.313201988531115444e-03, 5.832873881603007904e-01, -1.354480847083273758e-02, 1.843983537830994578e-03, 1.695800898710055418e-02, -1.225953390013440330e-04, -1.317106093598500115e-04, 1.470665522895967913e-04, 7.486660895851587824e-07, 3.808588462408605748e-09, -1.057083210381717182e-06
1403636858801666560, -1.418123178077874578e-03, 8.899220842833626462e-04, 8.635703955536242794e-04, -4.501640702602392741e-02, -8.111069481734951570e-01, 2.504281338854521827e-03, 5.831575861618558676e-01, -2.042248948446168458e-02, 2.374133195885142628e-02, 3.470025271077322587e-02, -4.513498191611024259e-04, -1.968263649141919515e-04, 2.701876404502318767e-04, 5.478994546948170834e-04, -8.704259431382524751e-04, -5.287354428269347472e-04
1403636858851666432, -3.007514005634290537e-03, 2.838353119237155796e-03, 3.640659652444460086e-03, -4.795355377432773680e-02, -8.116221520815103396e-01, 2.523526934925103375e-03, 5.822057804099844969e-01, -3.573780907810671786e-02, 4.229210575819401796e-02, 6.230829494172550331e-02, -8.404860374592586659e-04, -3.257410783734804999e-04, 5.516933067700425467e-04, 1.493202783066093636e-03, -7.927693191759540301e-04, -9.438256710862415058e-04
1403636858901666560, -5.212868529787796808e-03, 5.561463221201033182e-03, 7.421905085774798197e-03, -5.152928987388649684e-02, -8.116596960668769345e-01, 1.773102692713771035e-03, 5.818506046852226499e-01, -4.686811254840934221e-02, 6.232909466286057354e-02, 8.972339171556420467e-02, -8.709623030658354215e-04, -3.363125541515969122e-04, 5.746567714023130069e-04, 1.473999567689713306e-03, -8.054284592299029797e-04, -8.194083850580654964e-04
1403636858951666432, -7.766734299263220939e-03, 9.005432549385756352e-03, 1.259619889584230948e-02, -5.486021903062720390e-02, -8.113193441378566684e-01, 1.269590176988015734e-03, 5.820220496995042181e-01, -5.748554274753651938e-02, 7.097937214336431933e-02, 1.065218246383759088e-01, -9.612959990303991285e-04, -3.704797063544820138e-04, 6.525750860984733679e-04, 1.435509221378144075e-03, -8.575210510572596348e-04, -2.227693722298162190e-04
1403636859001666560, -1.089237800751484929e-02, 1.319350152338616931e-02, 1.869922099937054369e-02, -5.798548753777156561e-02, -8.109612941986110712e-01, 2.838921945606703618e-04, 5.822193589635635824e-01, -6.562671971457877118e-02, 8.856481313950946566e-02, 1.239757443548441113e-01, -1.103730109473282251e-03, -4.145379754869806129e-04, 7.476733901718136087e-04, 1.405020917246676063e-03, -8.777109883337311236e-04, 3.361485867067301632e-04
1403636859051666432, -1.398644164663965031e-02, 1.777386496718630707e-02, 2.489787726952128952e-02, -6.077173111135280442e-02, -8.111092446664692757e-01, -6.452690558911292540e-04, 5.817286081517435425e-01, -5.863589077046858777e-02, 9.049350066787795188e-02, 1.189597749360463280e-01, -1.200756709702215054e-03, -4.401847077431134494e-04, 8.060655013740563278e-04, 1.411209471586521644e-03, -8.762956293340409602e-04, 6.405650426322107537e-04
1403636859101666560, -1.666615728315157946e-02, 2.292583725362057345e-02, 3.127950141199105361e-02, -6.275348091657992344e-02, -8.118347679881866563e-01, -1.541718913861029683e-03, 5.805031724471541033e-01, -5.759730386923273687e-02, 1.042354373454151550e-01, 1.140635981615968075e-01, -1.460151681976793207e-03, -5.105538942004559386e-04, 9.692359289052529959e-04, 1.449629787595541975e-03, -8.522326070568302277e-04, 1.148067808993536885e-03
1403636859151666432, -1.912249682291894057e-02, 2.852168859699683728e-02, 3.730219660473207272e-02, -6.451615073370185749e-02, -8.127664659487700005e-01, -1.985500577927588016e-03, 5.790029325582973785e-01, -5.542076472545828802e-02, 1.079481864055338164e-01, 9.729783780925427283e-02, -2.103150430689986958e-03, -6.510959986616627780e-04, 1.346433290632792967e-03, 1.247860955403891576e-03, -7.054955197735496069e-04, 2.103650767441080614e-03
