# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403637130588318976, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.245542855668942406e-02, -7.887977597764561644e-01, 0.000000000000000000e+00, 6.114715149665145288e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403637130638319104, -1.344083512669974004e-04, -2.659581028370466621e-04, -1.951685194274294663e-04, -6.304413524755742015e-02, -7.891457603815519306e-01, 4.701380438963164224e-04, 6.109616885312283419e-01, -8.089846054140384379e-03, -2.608901750080471534e-03, -3.020137058199751437e-03, -8.271761550134894541e-05, 9.113731002064717995e-05, -4.126020255422135243e-06, 1.585204846511097281e-07, 1.269746037171636849e-07, -1.492445412080455722e-07
1403637130688318976, -1.125476267650174684e-04, -3.199313886159517797e-04, -2.408356714502680931e-03, -6.449370943789189958e-02, -7.885917612897975770e-01, 8.629193125509240217e-04, 6.115250206157191171e-01, 8.461134760956012107e-03, 6.745725955314853424e-03, -2.900865677439203039e-02, -7.031986345871757069e-04, 1.268603433953848208e-03, 2.974146232534217679e-04, 5.487416692604698683e-06, 3.892923052689583294e-07, -1.084544868855373124e-06
1403637130738319104, 1.038696847723212567e-03, -1.766662122108767928e-04, -2.476809345643643002e-03, -6.155499731968608335e-02, -7.926236489865896573e-01, -4.196353931522902973e-03, 6.065815064654035416e-01, -6.189083579082684319e-03, -1.355861299799859072e-03, -1.662055461098844653e-02, -1.495606960737392221e-03, -7.699973467295819700e-05, 6.630779576390936556e-03, 5.667493409716696995e-04, 1.962103436577994874e-03, -2.993654972918148279e-04
1403637130788318976, 8.860636885955302904e-04, -1.065101443570934397e-04, -3.540344031398282802e-03, -6.281503819096129204e-02, -7.893117160955966938e-01, -2.671248816263933380e-03, 6.107652169541534226e-01, 3.171967255523339829e-03, 4.958551350902281468e-03, -1.944028547729362635e-02, -1.239211606916045894e-03, -3.133962702128136567e-03, 2.050697942968428625e-02, 6.459004409498139351e-03, -7.225943336273941173e-05, 2.583916285045806307e-03
1403637130838319104, 1.403128923210438667e-03, -1.170134975795567261e-04, -4.085105841951216545e-03, -6.248002629237139199e-02, -7.888102549944252528e-01, -3.208317460587285785e-03, 6.114444656951329993e-01, 1.151525958371375563e-03, 4.627167423070514124e-03, -1.537683761258323151e-02, -1.307660286515024148e-03, -2.377376490120470739e-03, 2.345859999090769282e-02, 2.233226387114128561e-03, 9.070627659031634113e-04, 4.511596757516539609e-03
1403637130888318976, 8.783467304333142118e-04, -2.584167814924521588e-04, -3.317881240077676444e-03, -6.294413362846756899e-02, -7.878807997524461815e-01, -2.921047756164003341e-03, 6.125955834832746971e-01, 2.804120950117703487e-03, -4.311630448941810266e-03, -1.209372747649703136e-02, -5.934613474682527267e-04, -1.511776722737532847e-03, 2.998885195331466025e-02, -1.234290824010979108e-02, 1.748101241654138925e-03, 1.058379813146908925e-02
1403637130938319104, 9.004053850874185055e-04, -3.217454066680631194e-04, -3.554476852563823348e-03, -6.296130986956298414e-02, -7.878552223923518394e-01, -2.836440368885305083e-03, 6.126271105775851211e-01, 2.711120223165285319e-03, 3.434283610596960360e-03, -8.590481497037848885e-03, -1.070445078379785682e-03, -1.215831440896988956e-03, 3.357423732206777506e-02, -1.897130969276559706e-02, 1.928306103710957214e-03, 9.685110366202171264e-03
1403637130988318976, 5.850492823551267218e-04, -2.139490939174710843e-04, -3.770468743730534967e-03, -6.286183715138829453e-02, -7.872421756842652441e-01, -2.997054471262413505e-03, 6.134241305315214499e-01, 6.295083829467900544e-03, 5.233563959274663280e-03, -6.822995489528363260e-03, -1.578999545683386916e-03, -3.838524058753218604e-04, 3.732405440754307802e-02, -2.689275001087017281e-02, 2.448832462961590250e-03, 1.314940167061920233e-02
1403637131038319104, 6.650043495566267723e-04, -8.937341641048683442e-05, -3.776860271571459270e-03, -6.257380949707398721e-02, -7.872831464703483606e-01, -3.490340677600168879e-03, 6.133983886274287922e-01, 3.120542901387573110e-03, -8.709917278088807587e-04, -7.041966480713659181e-03, -2.359935395129935786e-03, 1.120996247318502455e-03, 4.079156354017261094e-02, -2.812633393750763738e-02, 2.337071005024352055e-03, 1.283386078522317716e-02
