# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715523962142976, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.828195176676587264e-02, -8.137641072436723189e-01, 0.000000000000000000e+00, 5.805067690959093696e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403715524012143104, 3.339333265957235178e-04, 1.027234952885360675e-04, -4.047129642352561446e-04, 2.663510392383374240e-02, -8.124994164715951817e-01, 1.060372300407290587e-03, 5.823522517195828252e-01, 7.876105010261215053e-03, 2.947276617831452641e-03, -8.457641763472006219e-03, 1.837680195388913717e-04, 1.197127314787362062e-04, 2.168098323011288049e-04, 6.667836469060596921e-07, -7.537771165763868204e-08, 2.154258254598422095e-07
1403715524062142976, 3.301906174375532420e-04, 1.751530273201798318e-04, -5.497639536112446448e-04, 2.545457679098240417e-02, -8.157962346368740070e-01, 1.726305152181255688e-03, 5.777764169150658713e-01, -4.944571761511890257e-04, 3.617135003055047589e-03, -5.711625202854340652e-03, 6.750504586010429471e-04, 2.013458879961547618e-04, 1.060439814932631186e-03, -9.446475948694981739e-06, 1.175553183946268345e-04, -2.272938121376339686e-06
1403715524112143104, -9.613656768680299905e-04, 2.520581997812346782e-04, 1.254316842692806272e-04, 2.429541422092794042e-02, -8.156001388271036934e-01, 2.055517179495063539e-03, 5.781019989951319271e-01, -1.153344347160038807e-02, 4.771669322667843917e-03, -3.728091259741243488e-04, 1.983039757343781247e-03, 7.648184879418110961e-04, 2.162218602290457564e-03, -7.574352938381687637e-05, 7.086770449450899723e-04, 4.234220232226490092e-05
1403715524162142976, -1.098696543442900407e-03, 2.743720553192139939e-04, -3.380493563761331061e-03, 2.287515636405798233e-02, -8.139143952671609172e-01, 2.748143511528945704e-03, 5.805278047651567519e-01, -6.232547873860748260e-03, 7.639098307001492352e-03, -1.854542978518075244e-02, 3.568762206972771016e-03, 4.221930372739895738e-04, 5.401468870471764529e-03, -3.740224114427486909e-04, 7.405886260874773586e-04, 3.514609558484518750e-04
1403715524212143104, 2.216469049951636568e-03, 2.042900096141323906e-04, 6.113618235454331730e-04, 2.143074047759850956e-02, -8.141557743548865078e-01, 3.846495277622523183e-03, 5.802381432836487551e-01, 5.790634277731172494e-03, 1.158550676455532245e-02, 1.282754586327105456e-04, 3.829287808233738412e-03, 6.257115823046802095e-04, 9.277915779797550611e-03, -1.302952510879983733e-04, 5.018656929430724903e-05, -2.044620574858574402e-03
1403715524262142976, 5.971779368523564939e-03, -3.391359053865096018e-03, 6.267266698302709563e-03, 2.106750085158970789e-02, -8.156474323182730801e-01, 3.093035071527623723e-03, 5.781572966715224915e-01, 8.073992474634042460e-03, -1.268804360717905311e-03, 1.911476069302373015e-02, 4.888854875487528596e-03, 4.949417709571916858e-04, 1.123636291554211755e-02, -1.647195162347402035e-05, 4.918592031508345688e-04, -1.848428245552304885e-03
1403715524312143104, 4.295995441000942730e-03, -2.141176001860159439e-03, 4.474596779629869299e-03, 2.035791048905125078e-02, -8.149395287870052629e-01, 3.311186499765910330e-03, 5.791788635170463939e-01, -6.553276556334245405e-04, 8.901435584238392984e-03, 7.353282982453345287e-03, 5.528779933454272370e-03, -4.667327109713047002e-04, 1.500869905916360145e-02, -2.980236194808577404e-04, 6.135755744065524804e-04, -1.310038764889926918e-03
1403715524362142976, 3.339583240739203013e-03, -1.159409888633853268e-03, 3.524805977714027139e-03, 2.074307868699092061e-02, -8.142396639323251639e-01, 1.997051783050067184e-03, 5.801547260430921504e-01, 1.463126118646672054e-03, 4.652897151959846204e-03, 5.346136868212517101e-03, 4.860738793745217855e-03, -2.116687966368573180e-04, 1.778210764845060757e-02, 5.085812713033803327e-03, 3.985867504794064764e-03, -2.101228800507241781e-03
1403715524412143104, 4.390046982852889232e-03, -2.149188878424310514e-03, 3.768045107704008287e-03, 2.045706452851026383e-02, -8.140510156244374906e-01, 2.065420570062922317e-03, 5.804293122418673345e-01, 2.862728301619219332e-03, 3.870288482936735681e-03, 3.075902099919275261e-03, 4.636630797157046194e-03, 3.493394384888336189e-04, 2.332434388385273144e-02, 7.273119136152697388e-03, 3.208552884896923030e-03, -2.822534102673559565e-03
