# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520521184820843783, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.212299862182455437e-03, -2.789704439449258028e-02, 0.000000000000000000e+00, 9.996100665975188315e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520521184870845783, -1.164735446921940395e-04, 2.725259611692757187e-05, -1.078798193872548394e-04, -1.362140930947329824e-03, -2.917927837957575571e-02, 1.187084052904072541e-03, 9.995725612064304544e-01, -4.085701452926637778e-03, -4.743982957493586040e-04, -3.774578449039974696e-03, 9.466162745098267127e-05, -1.144801061443611787e-05, 2.474885904945446722e-04, 2.203380919766200513e-07, -4.292912935640282876e-08, 1.193517949626039650e-07
1520521184920846783, -4.266418822823994390e-04, -7.233821271589106869e-05, -2.426725785502785774e-04, -2.412981627308963262e-03, -3.019568107304562710e-02, 2.204419789098513525e-03, 9.995386630328988442e-01, -4.544038955409870385e-03, -5.796396673682317931e-03, -3.589465790514390943e-03, 9.956333302163973304e-05, 7.500472580243625065e-04, 8.311614545240968198e-04, 8.107113749342937449e-07, -6.058149151463974802e-08, -2.158217058781875872e-07
1520521184970848783, -6.725579170232943819e-04, -5.608141914494181417e-04, -5.953811048936964549e-05, -1.383938066674760686e-03, -3.103122890755609375e-02, 3.389520740079066206e-03, 9.995117101350374789e-01, -5.539603202172802519e-03, -1.324998796146158349e-02, -1.076000829685250584e-02, 4.558175746935050408e-04, 2.606761407552261878e-03, 2.435879078211098791e-03, 2.696302628188204501e-06, 2.507473745399465475e-07, -1.701639808704016438e-06
1520521185020850783, -5.742224152659846769e-04, -7.381619099962997586e-04, 2.112259984941687466e-04, 2.698304702140741492e-04, -2.996106343702941918e-02, 3.509029446271501405e-03, 9.995448707194615201e-01, -2.503689404447817166e-03, -1.274106190690337675e-02, 1.974600303844964780e-03, 1.142551172852332821e-03, 1.616424394947514349e-03, 2.785543726924621759e-03, 8.690848569080553020e-07, -1.764062949809169025e-06, -4.119587009513580754e-06
1520521185070852783, -7.231240818130932032e-04, -1.184518869858433836e-03, 2.237870850271477072e-04, 1.603014702026076801e-04, -2.771908280331358485e-02, 5.798605487638027259e-03, 9.995989210310206596e-01, -8.771029575520391391e-03, -1.915685639914533472e-02, -4.897676112654476138e-03, 1.097896033778788692e-03, 2.846445901349255398e-04, 2.775780783719648034e-03, -1.144918021869255365e-06, -4.390174571683552301e-06, -3.726607892074275332e-06
1520521185120856783, -2.358549488742099024e-03, -3.334782909768589567e-03, -4.722853634404070781e-04, -1.466568829086490233e-04, -2.265836552097198753e-02, 7.046677891215590364e-03, 9.997184210038215779e-01, -1.855539519479723273e-02, -4.253782036862103350e-02, -1.143931363894488441e-02, 1.211506301379976312e-03, -6.451708547697655250e-04, 5.581660586543495638e-03, 1.284812151156481053e-05, -4.844222034665708838e-06, -5.959492161876282808e-06
1520521185170855783, -2.331871619743559974e-03, -5.797588859808723138e-04, 1.225403084637117536e-03, -8.607086911951188080e-03, -1.899893189968596824e-02, 8.628244189793955049e-03, 9.997452235663657483e-01, -2.725457269405921062e-02, -1.224257833485804282e-02, -4.550130680652055871e-03, -4.451239019703730248e-04, 4.746307072658190185e-04, 5.350124757872168173e-03, 1.336145853881717457e-04, -1.557261253310703031e-03, -2.607366296902967773e-03
1520521185220856783, -5.622751770772862687e-03, -5.104873420144050850e-04, 3.680974144223996729e-04, -1.029786462036818770e-02, -1.806069921155226132e-02, 1.089537151299196059e-02, 9.997244900510562360e-01, -6.310474249692139825e-02, -3.491573490669897493e-03, 2.051820047085607321e-03, -4.988788518985147469e-04, 3.569418992252944723e-03, 2.933198452685532431e-03, 3.668438715423249716e-03, -1.487916288816278120e-03, 9.461092528380501618e-03
1520521185270858783, -1.351901681961033622e-03, -5.059976314608578656e-03, 2.131761052772870521e-03, -1.052274569073733020e-02, -1.989912625925484291e-02, 1.086674636925281587e-02, 9.996875563997946745e-01, -5.909644203186859707e-02, -1.454264152127993266e-02, 4.982669928065812034e-03, -2.223862700983637516e-03, 2.218313365274452581e-03, 2.908889145607691708e-03, -1.415980434430745560e-02, -2.714036302817505412e-03, 5.161548997370040033e-03
