# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520530731450020325, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.421363358044433173e-02, 1.477110653222491257e-02, 0.000000000000000000e+00, 9.993053795957654861e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520530731500021325, 6.120625811238016630e-05, -4.841301013006601495e-05, -2.696528742486177261e-04, -3.056310180258570500e-02, 1.292285393511847895e-02, -3.077482658946167470e-03, 9.994445586198669185e-01, 5.783456873745987208e-03, 3.350631032205589181e-04, -1.047688599210356078e-02, 3.198918708551379926e-04, 2.825842215102303753e-05, -2.868339960822634477e-04, -9.103020348414130541e-08, 7.911714161003360666e-09, -7.892801037184320250e-08
1520530731550009922, -8.471717944735933283e-04, -1.997344743038744538e-03, 2.803687978154003561e-04, -2.602897725525036773e-02, 2.174644973196150719e-03, -5.728467311943380956e-03, 9.996424100269768465e-01, -5.483381174570103878e-03, -1.741647333373352174e-02, -5.318135053065027942e-03, -1.485466005758261012e-03, 1.068948981541412288e-03, -1.930235985143091866e-03, 3.343860165669192129e-06, 1.100379108320597591e-05, -5.283712197480523490e-06
1520530731600010922, -8.297183309333672034e-04, -1.734593642077226008e-03, 5.674320210356324215e-04, -2.363403823373447579e-02, -1.754417518947841773e-02, -7.471135391494532381e-03, 9.995388017929315305e-01, -2.388791936103390814e-02, -1.335972027612249667e-03, -4.570913129006249492e-03, -1.453459092415031401e-03, 1.488176868362958271e-03, -3.773587010436508116e-04, -1.309631760344263135e-05, -9.585305173031241372e-04, 4.029819191789569058e-03
1520530731650011922, -1.271651083537334980e-03, -5.860577626060038074e-05, 7.281886393085089653e-04, -2.457593854298093308e-02, -2.791766533101364828e-02, -6.840667485517465569e-03, 9.992846603823907214e-01, -2.436686020532725233e-02, 2.658247680160331222e-02, -2.992214156255980362e-03, -1.701508826181836066e-03, 1.552339958207746024e-03, 3.808288373431556895e-04, 2.473741402355149663e-05, -7.728442993939287726e-04, 3.005441551548352751e-03
1520530731700013922, -4.513275646606265679e-03, -9.146134585778424673e-04, 8.397554578334594840e-04, -2.756390498437270853e-02, -2.589821367582182537e-02, -4.540269791562970975e-03, 9.992741864076314373e-01, -5.037062999455128864e-02, 2.470077268174025037e-02, -5.700794774711702255e-03, -2.222719493081376681e-03, 1.868693443235418467e-03, 4.152075835003062217e-03, 1.477714033365079831e-04, 1.403105736242312536e-03, 3.553339581353568560e-03
1520530731750015922, -7.687700149212985719e-04, 4.863958400065514394e-03, -1.280993436996232188e-03, -3.141352563614859678e-02, -1.739720115013311877e-02, -1.454329032915748334e-03, 9.993539977036730582e-01, -3.571808446794500630e-02, 5.037694983584582731e-02, -1.058264268311711644e-02, 2.786872879077066049e-03, 3.133892130768946120e-03, 2.201802606580486460e-03, -2.017012144221884862e-06, 3.510399836292495010e-06, 1.071483864675472255e-05
1520530731800016922, 6.035098474214603808e-04, -2.897444642799761657e-03, -2.191717656249532291e-03, -3.156796469908145636e-02, 1.997173151819200965e-03, 4.276130275237092506e-04, 9.994995207859070918e-01, -2.471760610521914203e-03, 9.520759918364603280e-03, -2.836620646998578438e-02, 1.815490392555349237e-03, 4.038756289474199068e-04, 2.434181044747611971e-03, 2.194007382763361901e-04, 6.687671145942349418e-03, 9.069739467829037935e-03
1520530731850101922, 1.880227599883578082e-03, -9.320395799532952413e-03, -4.435628864976740894e-03, -3.020507458245419094e-02, 1.223053937314015627e-02, -1.589374079162370838e-03, 9.994676289235920885e-01, 2.774243887074128931e-02, -5.310618750099024149e-03, -2.657848395882100867e-02, -1.493346806548426133e-03, -1.902924288238886600e-03, 1.132699002586449750e-03, -6.352248976479229949e-05, -1.501473883378947813e-03, -3.547015455845483473e-03
1520530731900019922, 6.542441467630882336e-03, -1.100978490006234572e-02, 8.223847543669003321e-03, -2.944250439930230778e-02, 4.616644096453946002e-03, -7.324736828046791819e-03, 9.995289759493637405e-01, -8.701698379646970877e-03, -2.818336966411061004e-02, 8.328349602630336773e-03, -2.157485822202094387e-03, -9.440269835975727926e-04, 4.304240297858441446e-04, -7.123310511195714333e-05, -4.802735738662010741e-05, -1.140488114932480465e-03
1520530731950036027, -8.403947129356629294e-04, 7.764512234534929128e-03, -1.554546086202769281e-03, -3.015871554304376187e-02, 2.977120475539363296e-03, -1.603988199313072238e-02, 9.994119825257822276e-01, -4.137596482830573075e-02, -5.107415224179925189e-03, -7.610801497018476226e-03, -3.939480102320367001e-03, 7.187103785531715654e-04, -1.007062814504648381e-03, -6.900634783962356945e-05, -7.700318435901513611e-05, -1.279952788294604071e-02
1520530732000037027, -9.100731005402455318e-03, 3.917321864587969662e-04, -5.124812570570459226e-03, -3.050271800138743342e-02, -6.004972517359308086e-03, -1.841014226589631278e-02, 9.993470824299950372e-01, -1.166357866495681267e-02, 5.406073803344891432e-02, -1.272112982193026980e-02, -4.861652452763425870e-03, 9.069582739766454335e-04, -2.474268575476835409e-03, 1.828564125895167905e-04, 4.712385814647091897e-05, -4.866781361722050461e-03
1520530732050039027, -1.677959994690416540e-03, -1.861222440307537009e-03, -1.962472085253707133e-03, -2.640925816370478033e-02, -7.382499990875792707e-03, -1.508932610199379375e-02, 9.995100609873396325e-01, 2.491051262836916844e-02, 8.219556530578912834e-02, -1.211831830973177614e-02, -4.179868543414740935e-03, 3.806317947332310287e-03, 2.033894082493936553e-04, -1.679869354331080223e-04, 2.452034836526817505e-03, -5.717603219669550700e-03
1520530732100040027, 1.461251169090748564e-04, 9.049515945562854741e-04, -3.914591908444911236e-04, -2.143151491443942569e-02, -4.730889351319626443e-03, -1.226610616272020768e-02, 9.996838757797501529e-01, 2.634355067300587702e-02, 5.834666963414451152e-02, 1.179704076711926390e-02, -3.354956061322967621e-03, 1.386706939781015080e-03, -4.776429305835046962e-04, -1.151001590451546021e-04, 1.814537128481383266e-02, -7.311800491052240130e-04
