# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520531829301144058, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.825070188986896089e-02, -3.745354364573919015e-03, 0.000000000000000000e+00, 9.998264270368186768e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520531829351146058, 6.165289121461012484e-04, 1.304855367894679728e-04, -1.843129007075862674e-04, -1.838758645066751463e-02, -7.783515297316684692e-03, -7.646599827415498547e-03, 9.997713954025765348e-01, 3.383516518002641082e-02, 1.492284680765339558e-02, -1.142072874125863759e-02, 7.887527357977120249e-05, -1.301423781744326619e-04, 7.737697283854027446e-05, 3.925726739562312064e-09, 7.873620001001916427e-08, -7.482525803422704583e-08
1520531829401154917, 9.939116753564976054e-04, 4.441229071935796175e-04, 4.115041249126574026e-04, -1.736669611391798707e-02, -1.148674628664897272e-02, -9.675784522925725065e-03, 9.997363811123904931e-01, 4.115553384570946188e-02, 3.036206049666683934e-02, -5.420875654129594587e-03, 1.704608746344708292e-03, -2.763808485636207006e-03, 2.895187017624096864e-04, 1.109251683516193774e-05, 6.388305821392205201e-06, -7.502449032404799943e-06
1520531829451156917, 1.901466854883404178e-03, -1.357264883989822701e-03, 3.908289339318036029e-04, -1.352513205654910268e-02, -1.584200548953774643e-02, -8.400954374691812707e-03, 9.997477309954330149e-01, 4.325796183914938642e-02, 2.276506181148684957e-02, -1.340793588885792840e-03, -2.706811517848618526e-04, -2.322733056375679735e-03, -4.415777733084762452e-04, 1.037602750292784137e-04, 6.054344505620857462e-05, -1.433465326681182924e-05
1520531829501157917, -1.359971666770686807e-03, -2.879147290634466450e-03, 1.585907616441131762e-03, 1.084943478718235080e-03, -2.381674561806448875e-02, -6.841980742144490937e-03, 9.996923390850489533e-01, 3.045624773324391577e-02, 8.731211798413806430e-04, -1.488027990642041762e-02, -2.722390711959996046e-03, -1.439813013671891601e-03, -3.350801759469986939e-03, 9.387311301671540792e-03, 2.075513073646391253e-03, -3.440183101082145128e-03
1520531829551159917, -1.508153883985262952e-03, -4.604697257365395098e-03, 1.932957415765324850e-03, 3.341294200538015308e-03, -2.475202990862446911e-02, -4.203842617772693413e-03, 9.996791987811456393e-01, 4.936282078163467535e-02, 8.183922578344356505e-03, -1.888208224763679444e-02, 5.256200867324342489e-03, 4.179506362026915974e-04, -2.479044568171661321e-03, 2.326581676546136263e-03, -5.093299336263958435e-03, -3.944908649368580184e-03
1520531829601160917, -1.101261320869654494e-03, -8.341333596167418638e-03, 1.915442488303538936e-03, 1.864552492831855193e-03, -2.535696205880572790e-02, -1.675986599911440372e-03, 9.996753167844382171e-01, 5.291323459909959975e-02, 2.233672516494873694e-03, -4.484508646408788372e-03, 7.631606381035226788e-03, -1.296716631898915846e-03, -8.436786775488115935e-04, 1.073887888839837601e-02, -3.346297953058562438e-03, 2.096608880357633820e-05
1520531829651162917, -3.421097912653702292e-03, -4.519129012601829504e-03, 2.162748487383435621e-03, -4.401369701092298393e-03, -2.808773172868963414e-02, -1.134491404520598717e-03, 9.995951281395606403e-01, 2.588912960380780962e-02, 1.751293311400091771e-02, 2.245206601436840026e-03, 7.224392035418290316e-03, -7.406490070009110437e-04, -8.841834842523578052e-04, 4.262522672309583538e-02, -9.076348349942729016e-03, 6.145481604170862158e-03
1520531829701163917, -8.623237671750155894e-04, -1.810675970223287867e-03, 2.720676989628090410e-04, -1.123634486890389729e-02, -2.835824000745745116e-02, -1.963771255168583318e-03, 9.995327400241195148e-01, 4.824699594765413657e-02, 2.688697239107082360e-02, -1.501271467852067013e-02, 8.162672155008059496e-03, -8.061528322200461069e-04, -1.976629680974457525e-03, 2.945595123077794641e-02, -9.930333820573403886e-03, 1.144158603268119814e-02
1520531829751165917, 1.010641436386685958e-03, -1.610591540375772967e-03, -1.634365982511936212e-03, -1.195239390486714515e-02, -3.002460492232402606e-02, -3.254521749841247490e-03, 9.994723965509908492e-01, 4.339292452795590754e-02, 2.266651530018204755e-02, -4.130183858672706321e-02, 6.234356726859857818e-03, -6.617943080952112898e-04, -9.058141682959264685e-04, 3.572616622113083951e-02, -9.002083179648224381e-04, 2.224044506318677283e-02
