# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403636858701666560, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.729404796841013364e-02, -8.096992564014456883e-01, 0.000000000000000000e+00, 5.856588325715542664e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403636858751666432, -4.337994119502288238e-04, 8.483854032320184706e-05, 3.501003861725508585e-04, -4.003056155628250540e-02, -8.114370990897518121e-01, -1.028559666972185451e-03, 5.830663173493291218e-01, -1.226307491509488930e-02, 2.247825304276699927e-03, 1.688170178537557256e-02, -6.769414531290066160e-05, -1.322895395088562979e-04, 1.212074385388145628e-04, 5.825081445312401487e-07, 4.878489398162591221e-08, -7.614492083036901287e-07
1403636858801666560, -2.209081335584001885e-03, 1.349179150749620949e-03, 1.125529792568567312e-03, -4.584246377890548868e-02, -8.248817218763988546e-01, 2.868504719208414631e-03, 5.634362298517759937e-01, -5.305449207242315252e-02, 3.030296753471076188e-02, 3.638984281310236185e-02, -2.425295976209480061e-03, 2.633891797794376427e-04, 1.438377286547435751e-03, 4.523457459783655527e-04, -9.541654701805745787e-04, -4.580285580346126319e-04
1403636858851666432, -7.330464874212747409e-03, 4.221244567502592526e-03, 4.886991879147097387e-03, -4.841909513891775457e-02, -8.251331029555826202e-01, 2.464067927180623851e-03, 5.628542280218482574e-01, -1.009851687795587649e-01, 5.316014545266840863e-02, 6.915822480445732445e-02, -3.087105433657184525e-03, 4.214626841815617177e-04, 1.736530433271623892e-03, -1.893885511150723844e-04, -6.294865757465478327e-05, 1.305801320855539609e-04
1403636858901666560, -8.334642955238433237e-03, 8.183860335872804662e-03, 1.032354311838832618e-02, -5.054960781946627596e-02, -8.149968499139194078e-01, 1.255111588269994076e-03, 5.772549666088526710e-01, -7.315638014325312466e-02, 7.462158500640192482e-02, 1.046938827922031801e-01, -7.013595179539133632e-03, 1.085793714507471463e-03, 3.463772823597796244e-03, -1.292383751564544136e-03, -8.470709725989301539e-03, 1.122979432011267896e-02
1403636858951666432, -1.155164526631890891e-02, 1.198516595506666539e-02, 1.625660039423695510e-02, -5.331586610879978511e-02, -8.135982556375711550e-01, 3.268153225871383107e-04, 5.789777111740269655e-01, -8.112538989941460443e-02, 7.993728236383891572e-02, 1.217900127266877963e-01, -7.173921068076132175e-03, 1.051038810361412754e-03, 3.651690789281656496e-03, -1.214704727289916053e-03, -8.242512978405953927e-03, 1.175389524285628574e-02
1403636859001666560, -1.489338536830850032e-02, 1.698855697764524442e-02, 2.429430946982229569e-02, -5.598734414717452396e-02, -8.109124843260531179e-01, -6.518238968662892936e-04, 5.824825621296333411e-01, -7.662267833906050152e-02, 9.641398358782284073e-02, 1.435402113498388532e-01, -7.835621048587905479e-03, 1.170076321805805239e-03, 4.186824711638254849e-03, -6.266281965474832091e-04, -8.185121516675684938e-03, 1.210276277141513618e-02
1403636859051666432, -1.767980612958986592e-02, 2.177596647987948414e-02, 3.152556334251876979e-02, -5.815387555925508045e-02, -8.100748285077963295e-01, -1.535793453281373514e-03, 5.834334069231653652e-01, -6.020731727260468513e-02, 9.504501654864935811e-02, 1.388384919084519331e-01, -9.007399007186358414e-03, 1.449117122667928966e-03, 5.125411807583149515e-03, -6.894802000066928402e-05, -7.444603590251687095e-03, 1.190196721356123928e-02
1403636859101666560, -1.985842066908458450e-02, 2.676980948039308500e-02, 3.833900717449034712e-02, -5.996116589338477271e-02, -8.105892949462482067e-01, -2.190046017458370867e-03, 5.825331382863052632e-01, -5.366396166031361242e-02, 1.064641776768036757e-01, 1.326009029084000701e-01, -9.523511830152979474e-03, 1.559658996156350992e-03, 5.557688934560313550e-03, 4.605768725615211681e-04, -7.180112319192467375e-03, 1.178914831471293209e-02
1403636859151666432, -1.937610731895299948e-02, 3.155030708707512455e-02, 4.368713833116813494e-02, -6.144925052406653709e-02, -8.105645799401616225e-01, -2.181586406518893750e-03, 5.824124758598588913e-01, -3.498716349938105208e-02, 1.073768245178458314e-01, 1.121130348702745749e-01, -1.118548413963952291e-02, 2.099610459872355925e-03, 7.080087868331356137e-03, 1.150968600155508450e-03, -6.166375599615325255e-03, 1.177278850003010691e-02
