# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403637130588318976, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.245542855668942406e-02, -7.887977597764561644e-01, 0.000000000000000000e+00, 6.114715149665145288e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403637130638319104, -1.383398452841031476e-04, -2.759064561569822744e-04, -1.659937064271346926e-04, -6.286998171496985255e-02, -7.891876170404041879e-01, 2.418147589799702344e-04, 6.109257009120423465e-01, -8.199156496381282411e-03, -2.945179803864576493e-03, -2.433195092736197603e-03, -8.710692816207927440e-05, 6.837369090065055120e-05, -6.371508021986740957e-06, 1.175408421230842396e-07, 1.343765224814596940e-07, -1.412688478373154347e-07
1403637130688318976, 2.614977099012641935e-03, -2.019809182019343622e-03, -4.227680182800842758e-04, -6.432694860754208099e-02, -7.886087686606738645e-01, 6.268623552618061414e-04, 6.115209405391822672e-01, 3.572458216048696872e-02, -1.052096634436975285e-02, -9.146985644191118689e-03, -2.955418162938186944e-04, 1.725858829902839845e-03, 6.833124882677849747e-04, 1.573938914828913432e-06, 1.946109209669353536e-06, 8.466308487874855992e-06
1403637130738319104, 6.694498428548848650e-04, -8.390737586001479438e-04, -1.111595215282450665e-03, -6.303655886958854648e-02, -7.896904709792760269e-01, -2.142516806422993612e-03, 6.102546697176058910e-01, -1.455294694594029201e-03, -2.545188279154023125e-03, -7.391891565980144088e-03, -7.390814660404203870e-04, 2.590607865690401287e-03, 1.745733221227998557e-03, 1.316493474528621001e-03, 5.502545387579497592e-05, -4.056951360674331160e-04
1403637130788318976, 2.528328728907327659e-04, -2.540930938943997911e-04, -1.836091754522625350e-03, -6.404086962220841006e-02, -7.892422553716245126e-01, -1.722513385610477963e-03, 6.107310883699790249e-01, 2.021423320198456077e-04, 6.078652652351461405e-03, -1.064808030838691223e-02, -9.607091367513018176e-04, 2.887126799187474287e-03, 3.549764802951793554e-03, 2.797986786045031718e-03, 1.473918847035439027e-04, 1.353046518546790848e-04
1403637130838319104, -1.623835652317303377e-04, -3.653196128777007009e-04, -2.320480578961751569e-03, -6.419955808609291437e-02, -7.887154114158339002e-01, -1.944410908468391158e-03, 6.113940102772690288e-01, -4.697720614889178484e-03, 6.620347711068372103e-03, -8.454065936367100367e-03, -1.093443268425928552e-03, 3.513269855603469004e-03, 4.688644033071252826e-03, 1.734654224620082487e-03, 9.203667292061655470e-04, 1.838719118825924087e-03
1403637130888318976, -1.279976286232605703e-03, 4.329807307074840677e-04, -2.730040362380811974e-03, -6.480305216801110491e-02, -7.885439525655727477e-01, -1.925307251479645718e-03, 6.115515452469737490e-01, -8.199748544690318650e-03, 2.171282826768298861e-04, -1.239999215506567762e-02, -1.170334542715182127e-03, 3.418840187713407131e-03, 5.605790490365174933e-03, 3.830063617697417391e-05, 1.263741569722258385e-03, 1.887120681001594252e-03
1403637130938319104, -8.839695782395493723e-03, 3.279557460950747842e-03, 1.534561462768230895e-03, -6.564087571347665406e-02, -7.881797617847506876e-01, -1.543462921592290114e-03, 6.119326403050513452e-01, -2.696307761664041430e-02, 1.710998375814163155e-02, 6.976330555871108896e-04, -9.605268067983568133e-04, 3.775475271605635477e-03, 6.120126375121407065e-03, 5.287468556177248600e-04, 1.481343691800016561e-03, 1.840228223432571449e-03
1403637130988318976, 1.968820249891447410e-02, -1.326648364464907796e-02, 1.139080380553712671e-03, -6.977304136222288455e-02, -7.872715227603737098e-01, 3.280727415273550999e-03, 6.126373388696242372e-01, 5.296963401830222934e-02, 9.360985306502853315e-04, -9.603435265635176191e-05, -1.471396588231476364e-03, 3.830275386288880830e-03, 6.435706695967283175e-03, -1.364566119527075953e-03, -2.602597555149225314e-04, 2.968523537546329319e-03
1403637131038319104, 3.737960581627637353e-03, -2.744426306855707407e-03, 6.226622667202670299e-04, -6.877248833871185685e-02, -7.880276996188297911e-01, 1.300099276299894295e-03, 6.117850923510878003e-01, 2.746217758879399007e-03, 1.607071671152356107e-02, -2.801242510535993050e-03, -2.598024611837035890e-03, 4.294787633805535396e-03, 7.073800798006383943e-03, -6.865495050261527683e-03, 6.700257517075801708e-04, 2.696387659046568797e-03
1403637131088318976, 3.704180275049674068e-03, -1.427744852249285138e-03, 5.354143683284231072e-04, -6.949051750391635474e-02, -7.876417923413006061e-01, 1.933974899864664967e-03, 6.121990972514644858e-01, 1.002150560212798115e-02, 2.903784291543488189e-02, -6.310499987291076814e-03, -2.608594138045176956e-03, 4.349295550479658802e-03, 7.109657652335282275e-03, -6.325803787865438323e-03, 6.935421461738097183e-04, 2.741016191543456208e-03
1403637131138319104, -8.308255493499915913e-04, -8.068478647126287257e-04, 9.637443339580028471e-04, -6.950525517103674222e-02, -7.868257679108034974e-01, 6.888964673405883598e-04, 6.132485270074775618e-01, 3.126608863757513119e-04, 6.443229019351802249e-03, -9.951878649682235900e-03, -1.540002936537297317e-03, 2.697288576594157345e-03, 9.414568935210370845e-03, 5.788212959040112994e-03, 1.512196462734503432e-03, 2.455842687735198832e-03
1403637131188318976, -5.333676748057314745e-03, -3.100813194461681140e-05, -1.610267481092243162e-03, -6.765137396227326183e-02, -7.868764235492895498e-01, -1.982192072394427934e-03, 6.133880147002255256e-01, -7.072904031192346098e-03, 6.996665347069910140e-03, -1.296775946372942176e-02, -1.299822131092829691e-03, 2.254453100611906839e-03, 1.074638722802973879e-02, 6.259722074855195509e-03, 3.475717837729622780e-03, 2.887628092894662171e-03
1403637131238319104, -2.368516898962311906e-03, -1.766491955279863701e-03, -9.788510497533307788e-04, -6.886978105320140653e-02, -7.865549504190463281e-01, -1.796160743203221392e-03, 6.136652483525203428e-01, -1.781820150905172404e-03, -1.459435127249816833e-03, -8.801730227353522090e-03, -2.527821894161973604e-04, 2.208432114799123522e-03, 1.127294823977880930e-02, -5.659900132672306128e-03, 4.179325402189287310e-03, 4.463463107259051446e-03
1403637131288318976, -2.168622995479071395e-03, -8.165396782656514580e-04, -4.292871550836538028e-04, -6.990280872713595939e-02, -7.862468783697427188e-01, -1.454864686052518988e-03, 6.139440747776933049e-01, 1.658762480697026278e-03, 9.058953191792772433e-03, -5.401531024113013016e-03, 5.249321806248183602e-05, 2.616068996003449894e-03, 1.160206422797137836e-02, -1.210048324492818059e-02, 4.834100874249271963e-03, 6.189604955153314540e-03
1403637131338319104, -4.642637029359032372e-03, 6.407300565345622418e-04, -4.943797493240783495e-04, -7.080334502381420425e-02, -7.860128665359904510e-01, -1.283150773035009965e-03, 6.141408743093133005e-01, 6.938436165776573974e-04, 1.137064953601785514e-02, -6.001108506478829152e-03, 4.251644339701671584e-04, 3.091398619063052099e-03, 1.189856716559975144e-02, -1.366245878758018395e-02, 4.818938366723595108e-03, 7.113416995660543606e-03
1403637131388318976, -8.534546113178005655e-03, 2.576229369549952897e-03, -7.001127752628372386e-04, -7.137060863636367214e-02, -7.858207631227250856e-01, -1.179232341950002712e-03, 6.143212302038540962e-01, -2.372497498419336506e-03, 6.314813330894851300e-03, -7.136733685289474612e-03, 3.541836665605991360e-04, 3.357201594847749378e-03, 1.221197325127831683e-02, -1.470245733963854856e-02, 5.300981188651000819e-03, 7.432279865130572184e-03
1403637131438319104, -1.454710613567410625e-02, 5.277705855630152390e-03, -5.194214025926270411e-04, -7.203708743547604376e-02, -7.853103593837507113e-01, -4.667611927235564050e-04, 6.148968040349266362e-01, -4.855309709116068309e-03, 1.406235395242189795e-02, -6.874398390797059090e-03, 2.064812944128880344e-04, 3.484477668499728811e-03, 1.241244728600357852e-02, -1.709889460590523561e-02, 5.564721158776410326e-03, 1.045292396235651330e-02
1403637131488318976, -8.480089230901870223e-03, 1.632243555354898588e-03, 1.108099353307903526e-03, -7.236946189343866631e-02, -7.851928890946633377e-01, -7.308704993600826901e-04, 6.150075233106853112e-01, 7.901707137919497873e-03, 1.403711136925632832e-02, -2.305673340604767318e-03, 5.075100583143040940e-04, 3.780807333836440007e-03, 1.322939436608572272e-02, -2.378736213992839466e-02, 6.226058650110398267e-03, 1.120751849111275775e-02
1403637131538319104, -3.627361852294174425e-03, 4.011940908388895869e-04, 2.779930969602468094e-03, -7.195294762493581464e-02, -7.853379424630353434e-01, -1.292800667056670950e-03, 6.148702449480254462e-01, 1.672606684807953145e-02, 9.922478348334082265e-03, 2.927966904694594141e-03, -5.469144177728305599e-04, 5.519223501736826749e-03, 1.547705137731827073e-02, -2.549690319529707150e-02, 5.500809596595898285e-03, 1.578709343302069773e-02
1403637131588318976, -4.847896627037258897e-03, 1.584702990039129353e-03, 2.637988281926335974e-03, -7.295477705064494500e-02, -7.852681233492961876e-01, -5.528603062629936600e-04, 6.148424751938068589e-01, 1.236313613480942430e-02, 1.043746619025562143e-02, -1.017347605854337879e-03, -6.133280766658947766e-04, 6.242841502283606910e-03, 1.715937660326808528e-02, -2.155619758935547678e-02, 4.733357720112504885e-03, 1.026455226833340381e-02
1403637131638319104, -7.625558157701132697e-03, 3.516295453690445900e-03, 3.237818704420901764e-03, -7.289283158554044073e-02, -7.852199438316084246e-01, -2.601359947130689010e-04, 6.149115442417649735e-01, 7.128942073899345068e-03, 1.184425980740320787e-02, 4.468780883911213642e-03, -1.100808846973737884e-03, 6.545298459905957676e-03, 1.871734805327505968e-02, -2.765588097556664904e-02, 5.371673773346984093e-03, 9.284821913915036057e-03
1403637131688318976, -1.220168125869539391e-02, 5.379377702776831811e-03, 4.305679549786469579e-03, -7.286925766334835519e-02, -7.852127270835713713e-01, -4.964587845277220520e-04, 6.149234082731350748e-01, 4.711110521788808465e-03, 1.323745011301827486e-02, 6.479016436607101803e-03, -9.635939711367873077e-04, 6.787271120104718808e-03, 2.024460000266872783e-02, -2.950020779979820040e-02, 5.588928873899145708e-03, 6.640850910819329038e-03
1403637131738319104, -7.545187140442794621e-03, 2.262990920779093043e-03, 5.440968479352437971e-03, -7.337450082623156455e-02, -7.854420459248514508e-01, -3.323021221944904516e-04, 6.145704717094571112e-01, 8.484460969794358626e-04, 2.067720302993249215e-02, 9.203060535089230623e-04, -8.616426679554110629e-04, 7.627883066638412035e-03, 2.188287277018509391e-02, -2.259808081853664080e-02, 4.127874121727490193e-03, -3.908564212986335822e-03
1403637131788318976, -5.647173253741796795e-03, 3.072617037864690151e-04, 6.547691764230514390e-03, -7.348937082681357424e-02, -7.855127297430524180e-01, -5.400142959855281982e-04, 6.144662498230946124e-01, 1.878586620195009296e-03, 7.314505673096475917e-03, 1.707283474993007740e-04, -6.135254769117194987e-04, 8.371446824224618513e-03, 2.347560279553650639e-02, -2.091752718884318241e-02, 4.371558863184055697e-03, -2.533920766620590195e-03
1403637131838319104, -7.820492013762083555e-03, 2.078654090633520746e-03, 6.709905357569779724e-03, -7.379915770777441264e-02, -7.855910616163784832e-01, -7.526496725889318250e-05, 6.143291972267469481e-01, -1.996154589155916311e-03, 2.007735630184537268e-02, -1.014598317781707218e-03, -8.359797106381426646e-04, 9.020678143629251577e-03, 2.527750684579689947e-02, -1.959130830941604659e-02, 3.885213061049665531e-03, -5.193620493100474869e-03
1403637131888318976, -7.007377696188311390e-03, 8.352451281322873086e-04, 7.751607483861753384e-03, -7.386065266221174264e-02, -7.858473373405973073e-01, -6.164804026494517374e-04, 6.139936370475826966e-01, 2.125825456092981115e-03, 2.028041129153555430e-02, 1.271568185911901806e-04, -4.957086806260910554e-04, 1.025678739293420585e-02, 2.755310091417350823e-02, -2.003122828409319503e-02, 3.580921532075199802e-03, 4.098644726572517891e-04
1403637131938319104, -6.038321337090414749e-03, -7.838227316775592431e-04, 9.055346083842640004e-03, -7.335944775818609154e-02, -7.860184848408996450e-01, -1.133910564361827363e-03, 6.138338921563899486e-01, 9.945611751711366799e-03, 4.191492918676179187e-03, 5.989785909830673549e-03, -4.960818573003191638e-04, 1.160988983270568216e-02, 2.981694704933491105e-02, -2.296817660296547950e-02, 4.481203579727673428e-03, 1.356089882979180823e-02
1403637131988318976, -6.427134493146474323e-03, -1.158598188162324530e-03, 1.075120233776887674e-02, -7.283543647546547595e-02, -7.864472986398408638e-01, -1.287880650752427133e-03, 6.133465472462975576e-01, 4.193943297751711631e-03, 7.370324519356891840e-03, 7.831035330624760288e-03, -4.899231935419083757e-04, 1.275279142761299826e-02, 3.207207779077581727e-02, -2.322682941419422151e-02, 3.971738101346974914e-03, 1.604752523376320669e-02
1403637132038319104, -3.482408409036517882e-02, -3.882972925628691042e-03, 6.359899523451262304e-02, -7.110580671471949943e-02, -7.888555061827398074e-01, -1.426947930209347725e-03, 6.104497673324372764e-01, -3.957094253254597044e-02, 2.422836811417718519e-02, 2.927716630647922424e-02, -3.979559788349103905e-04, 1.870443985722381602e-02, 4.116708747529482931e-02, -6.358593581180283644e-03, -7.643073975170666667e-04, 1.420197784015642117e-02
1403637132088318976, -5.087366248598953339e-02, -1.740586421912343820e-02, 1.244914945145253748e-01, -6.845810483136532953e-02, -7.922868366163378084e-01, -2.276368788871859731e-03, 6.062919053991330243e-01, -1.006278293474541091e-01, 3.213472719068361655e-02, 6.544522369865027334e-02, 9.107875378794968351e-04, 2.705712222581751689e-02, 5.550636712581582394e-02, 3.218290666771937529e-05, -1.895882666711422825e-03, 1.190849146319255397e-02
1403637132138319104, -4.062807771105442223e-02, -1.720596135850830516e-02, 1.138780741204200725e-01, -6.575039937594463757e-02, -7.924327787888129082e-01, -2.363484222065266680e-03, 6.064005194797215115e-01, -9.031328181742527550e-02, 5.670330164029875608e-02, 6.225826562132073111e-02, 3.539401563225935579e-04, 2.716622518469542433e-02, 6.597442558559148129e-02, -6.754958879920773540e-03, -1.454458415763356088e-03, 1.209433749950027462e-02
1403637132188318976, -2.983617650955050146e-02, -3.504075322161031431e-02, 8.507138465125933802e-02, -6.328691429092085652e-02, -7.909582135463961716e-01, -3.944725054619486505e-03, 6.085756403663152847e-01, -4.959235664127960297e-02, 1.468688746897957309e-02, 4.424214316505989397e-02, 9.204041395593346754e-04, 2.530099052839384841e-02, 7.345237093295482744e-02, -1.229649306965589078e-02, -6.870096878276466543e-04, 1.380604642820160849e-02
1403637132238319104, -1.517007878874023115e-02, -1.113742711482223861e-02, 2.038489366510671738e-02, -5.879007507837782226e-02, -7.876917003242968063e-01, -6.056324093103491145e-03, 6.132282065030735252e-01, 2.996488774040628050e-02, -1.710312086641370757e-02, 3.779947711179535048e-03, -1.023911055487546811e-03, 2.136185007527520788e-02, 7.724576431242985430e-02, -1.115612652129178463e-02, -8.151143167412291946e-04, 1.313145146386466948e-02
