# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403638127295097088, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.148621820459924496e-02, -8.371155535777242696e-01, 0.000000000000000000e+00, 5.469054916067461747e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403638127345096960, -5.939213565193699287e-05, -3.284318872016346277e-05, -2.293750676289470713e-04, -1.296793221134949319e-02, -8.372461481753772361e-01, 6.391789429336925104e-04, 5.466720328953504904e-01, -1.336481207299557768e-03, -4.891061809793337788e-03, -5.673664107668575582e-03, 3.931618689831069876e-05, 2.578292916749043431e-05, 1.976967053682666432e-04, 2.617424337947903683e-08, -2.099811419345152393e-07, -1.028328449064802556e-07
1403638127395097088, 1.133163679721918039e-03, -3.060326310620831505e-04, -3.178477723283898351e-04, -1.356784581100912990e-02, -8.342999173233671684e-01, 7.071055591026644753e-05, 5.511438619038487863e-01, 1.546062683992595506e-02, 9.337034670640720173e-04, -4.195944686165396266e-03, 1.788075542388037613e-05, 5.159342250724101558e-04, 9.065443940394529894e-04, -2.847202879734450826e-04, 1.444630861510816052e-04, 2.672542382133945120e-04
1403638127445096960, 1.706781022657819077e-03, -5.071550276101884601e-04, -3.467074207597924313e-04, -1.494042591841395796e-02, -8.334505909735122620e-01, 7.689402495327205163e-04, 5.523914416518166393e-01, 2.403058211392379226e-02, 3.784941396000785115e-03, -2.848818071412549842e-03, 2.929827438355521343e-04, 1.743783803241329405e-03, 1.645807980256857456e-03, 4.461932724528409433e-04, -2.798544642606858924e-04, 3.251842436029019111e-04
1403638127495097088, -2.520103517043291094e-03, -6.150728658411204084e-04, -2.447393972442666286e-03, -1.531841140493038662e-02, -8.311670467529608253e-01, -2.317297630075203284e-04, 5.558116884029229432e-01, 4.341324355874515324e-03, -2.319259156517648832e-03, -1.876556410766189176e-02, 9.210235014355582037e-04, 3.838299973282888623e-03, 4.527105002718573648e-03, 4.533856864060987861e-03, 1.257729736459142983e-03, -1.127893520498434105e-03
1403638127545096960, 2.170033051844067699e-03, -4.004475870695292845e-04, -7.150498455794739982e-04, -1.669943360363231044e-02, -8.320216555113179036e-01, 8.979577744747913818e-04, 5.544910164730885160e-01, 2.921425403027345241e-02, 6.171658198167626411e-03, -8.464570453100790648e-03, 1.109992126185527705e-03, 4.932499030994773499e-03, 5.718243988369783176e-03, -6.227468602012994903e-04, 2.370721144230686535e-03, -7.989983791941615131e-04
1403638127595097088, 2.473433717812912984e-03, -6.589890668154653941e-04, -6.836805840754496674e-04, -1.828846980067826145e-02, -8.328263827053513646e-01, 2.140950181452849679e-03, 5.532279498313421584e-01, 2.935717541966612401e-02, 8.693052581341405294e-03, -9.373774179441563686e-03, 9.523974688651036524e-04, 6.182241947404193937e-03, 6.784120627608425554e-03, -3.896481116433894460e-03, 2.069877239195625895e-03, -5.213986242300851139e-04
1403638127645096960, 9.942682012534861599e-03, -2.475710396406789228e-03, 2.818113779765306706e-03, -1.955132075212921705e-02, -8.328786222665396366e-01, 3.152558974455842589e-03, 5.531012636038278307e-01, 5.426131445192404479e-02, 1.357300636989382074e-02, 1.860236744785784616e-03, 5.853954608557105288e-04, 7.545766922238704433e-03, 7.609782144984766211e-03, -4.263854060317244336e-03, 2.014667471838689147e-03, -3.238174597842379248e-04
1403638127695097088, 1.255728730569527843e-02, -1.665180244217923490e-03, 2.872828606615086735e-03, -2.089457106448842569e-02, -8.325592997363194803e-01, 3.774977402592055720e-03, 5.535288419479243993e-01, 6.144975490943870022e-02, 1.665583298940903276e-02, -2.433076812184027118e-04, 5.766960032845991780e-04, 7.565261443219694661e-03, 7.622313112555254531e-03, -4.263693191467635840e-03, 2.006878726023750802e-03, -3.193523526392378666e-04
1403638127745096960, 1.669680265907644637e-02, -2.713444365570846133e-04, 2.526999359940104023e-03, -2.253711973129582727e-02, -8.330357024640909769e-01, 5.163577560796761383e-03, 5.527358628867404811e-01, 6.343119272720781909e-02, 3.009580653091019006e-02, -2.655017145257980091e-03, 3.397205892814319800e-04, 7.935219902806220707e-03, 8.678906597697329250e-03, -4.120834938511890901e-03, 2.125412752203438560e-03, -1.075455129814421699e-03
