# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715523962142976, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.828195176676587264e-02, -8.137641072436723189e-01, 0.000000000000000000e+00, 5.805067690959093696e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1403715524012143104, 3.333368750627486565e-04, 1.028050189680787107e-04, -4.047494461693457559e-04, 2.657500060373800890e-02, -8.123900477161168920e-01, 1.140246742616256390e-03, 5.825074072937466152e-01, 7.958971537087527678e-03, 3.000171527341145838e-03, -8.453170681641952386e-03, 1.849055429024239097e-04, 1.320430940402794794e-04, 2.233153430106125882e-04, 6.638993358161737690e-07, -7.216196447542065054e-08, 2.084419114566397262e-07
1403715524062142976, -1.176617128858537366e-03, -1.134023823262387794e-05, 6.709916553112020175e-04, 2.552108629038792736e-02, -8.155758159883526037e-01, 1.555961873551896420e-03, 5.780850642527789462e-01, -1.511478114271373047e-02, 1.646403616640944962e-03, 6.540594067273703370e-03, 2.133554948119339295e-03, 3.597472245255682187e-04, 3.389027023676762992e-03, -8.021454671379623844e-06, 7.089370920857926103e-05, -5.035022744134396592e-06
1403715524112143104, 2.964788558873139059e-03, 9.252624807248935324e-04, -7.097181405763445345e-04, 2.400037697637905434e-02, -8.113529420493201805e-01, 2.319752891732077080e-03, 5.840590758471488897e-01, 2.531335293997322503e-02, 1.022064077415139188e-02, -5.887296532552429434e-03, 3.728984015138529177e-03, -7.685540356538788980e-05, 6.328496460367912489e-03, -3.741974969859117295e-04, 9.780834041245509147e-04, 2.270868074636144050e-04
1403715524162142976, 4.357889112177734323e-03, 6.226000035538921612e-04, 8.273228427525146020e-04, 2.532362860111163697e-02, -8.135568837601888648e-01, -6.540324641372812636e-04, 5.809332861546320226e-01, 2.215909990306058272e-02, 1.368413205665312653e-03, 2.296209276759075303e-03, 4.880488306414612100e-03, 9.338671929561253703e-05, 9.482684447167218089e-03, 5.080850117901613205e-04, 1.861505599252925337e-03, -4.669584481085333090e-04
1403715524212143104, -4.984668274316851611e-05, 5.601352459763123820e-03, -3.329770216291136169e-03, 1.922067176525952409e-02, -8.124007280253401353e-01, 6.904897188555120420e-03, 5.827417483547966404e-01, 4.198474224370654651e-03, 4.278445341954897896e-02, -1.558117629641192492e-02, 5.331793795306418414e-03, -3.186500078279386758e-05, 1.280048499677578604e-02, -3.116433015345154668e-04, 9.457346022822687038e-04, -4.297008137045394403e-04
1403715524262142976, 3.972104032359136810e-03, 2.071408647106774692e-03, -1.260154717787583369e-03, 2.126283071492509474e-02, -8.128245946864451899e-01, 3.119957156585975548e-03, 5.821119618854655453e-01, 1.562799618394609957e-02, 1.700876878172090725e-02, -5.773021428908915904e-03, 4.850200673284180836e-03, 2.140079112973900606e-04, 1.419972033197296549e-02, -1.670808309969459794e-03, 8.576659882515552105e-04, -6.643590652457481488e-04
1403715524312143104, 5.408340628893772324e-03, 1.648399693994340555e-03, -1.471788662988030927e-03, 2.140370412465607275e-02, -8.118598453570166074e-01, 2.073436060974760946e-03, 5.834562312714866028e-01, 2.399937302286738253e-02, 1.191634590485663760e-02, -6.368170668289275735e-03, 4.239177940013049393e-03, 3.735696108888701163e-04, 1.535814184337426329e-02, -6.259480376602096722e-04, 1.038723521651363025e-03, -4.273952030322204407e-04
1403715524362142976, 8.545421401793528446e-04, 2.349604624209506061e-03, -3.726445322206934415e-03, 2.150562353738187660e-02, -8.125327791088198248e-01, 1.354789641977950307e-03, 5.825170860798783989e-01, 6.345265943365143053e-03, 9.552339750426097967e-03, -1.241949109517844624e-02, 3.229362015548640011e-03, -1.571163506851606570e-04, 1.676470270483294833e-02, 1.758698517395114328e-04, 1.027532006341008502e-03, -2.136472764721073295e-03
1403715524412143104, 2.204070150540150472e-03, 2.506251446671578335e-03, -3.711754849184048868e-03, 2.079040226776071240e-02, -8.128089587794796733e-01, 1.960163580484020670e-03, 5.821559185133313719e-01, 6.375554003211979584e-03, 1.166892750661525924e-02, -1.112563668379054453e-02, 2.131102709463189755e-03, -5.471947616969858458e-04, 1.820623540519928502e-02, -3.573159160119773574e-03, 7.104795184083572291e-04, -2.322589317002327503e-03
1403715524462142976, 3.030978002443493469e-03, 2.695675458962989816e-03, -3.771114308346039563e-03, 2.051516767667972349e-02, -8.129345015612459147e-01, 2.032965129792218932e-03, 5.819901125615001281e-01, 4.900225112546486260e-03, 1.088027822327765348e-02, -9.544521325917151161e-03, 8.944921739598948700e-04, -5.709891742801904762e-04, 1.948630220063443316e-02, -5.160526485911630726e-03, 7.293890696069405379e-04, -2.210082012869629339e-03
1403715524512143104, 3.799995743306470216e-03, 2.736394802513308910e-03, -3.970249581770022261e-03, 2.005381351771133927e-02, -8.126031364805920143e-01, 2.159353036269909525e-03, 5.824683032919183434e-01, 8.454460301442024567e-03, 1.111502930029927005e-02, -8.376687794903959344e-03, 3.438033987584641297e-04, -7.047680273394829305e-04, 2.090839202174804567e-02, -6.719064456938571468e-03, 1.047663500224370282e-03, -5.582569601535491456e-04
1403715524562142976, 2.453875981197381050e-03, 1.905222461780542876e-03, -2.521824996766806881e-03, 1.980065982140577149e-02, -8.124878030819817631e-01, 2.341357650590158643e-03, 5.826371269993046997e-01, 9.724208052074042805e-03, 1.220102652585905445e-02, -4.587302574268228156e-03, 2.198844305496563088e-04, 2.909838393843326536e-03, 2.537495542302239601e-02, -7.430254171043674735e-03, 1.336061513203273430e-03, 2.738253212401304398e-03
1403715524612143104, 4.110531687841499637e-03, 3.227151568296064872e-03, -4.272155712998511497e-03, 1.991705790816688040e-02, -8.124004257421194586e-01, 2.834941813849325282e-03, 5.827527967871266590e-01, 1.248682712733074560e-02, 1.411102624687293923e-02, -5.175390807839469129e-03, -2.148929825661666584e-03, 2.502297270765985703e-03, 2.628395380211458188e-02, -8.790482501657953529e-03, 1.118791146274360085e-03, 2.397502448182843842e-03
1403715524662142976, 9.552380742268679753e-03, 2.409342177870638004e-03, -2.823664842350671021e-03, 1.961378244521103445e-02, -8.124560540758528626e-01, 3.005907003658703485e-03, 5.826846696599905506e-01, 1.837149562125344610e-02, 1.219175273547038092e-02, -2.081784504544291481e-03, -2.895648367506223602e-03, 2.400010934520168011e-03, 2.640075255988314287e-02, -9.343271164626333614e-03, 1.011196585737746730e-03, 1.295767394085203892e-03
1403715524712143104, 1.074937361780559791e-02, 2.498208754431572795e-03, -2.722863579245963107e-03, 1.946752718218022066e-02, -8.121452927643100228e-01, 2.919734839259348867e-03, 5.831230693212650085e-01, 2.211221258535366399e-02, 9.758938605048755877e-03, -9.399782885967373873e-04, -3.467321331555603056e-03, 2.086846758642999389e-03, 2.668509989627702861e-02, -1.065278371162425679e-02, 1.496718496026790135e-03, 3.117281906163184377e-03
1403715524762142976, 1.039056525485318808e-02, 2.914486742316600536e-03, -2.803554344837860725e-03, 1.888705046262825066e-02, -8.120604333461015623e-01, 3.286293258438449487e-03, 5.832583751607716138e-01, 1.993133738755927323e-02, 1.295380148287917678e-02, -1.290063423101560879e-03, -3.613795530074914459e-03, 1.711204384599107143e-03, 2.720344494216996728e-02, -1.053812589990649889e-02, 1.122575751978026944e-03, 1.103206146773592650e-03
1403715524812143104, 1.076923404304229795e-02, 2.855793248812140729e-03, -2.438843648609240536e-03, 1.831533301961606880e-02, -8.119614481133843320e-01, 3.667566580935860757e-03, 5.834121221823994619e-01, 1.805869411091903104e-02, 8.737470684934082327e-03, -2.670167469651439467e-03, -3.601585071157562077e-03, 1.273171636642823771e-03, 2.743487719912062611e-02, -8.002644668781200288e-03, 8.365889204990496850e-04, -1.821596954623636196e-03
1403715524862142976, 1.089191844112513165e-02, 3.122215571483209513e-03, -2.422026938761487249e-03, 1.785050158255401323e-02, -8.118906261373256550e-01, 3.851369400946398364e-03, 5.835238964578316478e-01, 1.683804639502979594e-02, 9.470398410008918841e-03, -3.315838172312796182e-03, -3.497112664061671674e-03, 1.147636205005985116e-03, 2.780244559542289010e-02, -9.584121465227111308e-03, 7.701120252911826565e-04, -2.327375631304926754e-03
1403715524912143104, 5.892028111151957973e-03, 2.272846556360161308e-03, -2.977610156291969710e-03, 1.696020564251627186e-02, -8.118555480379764377e-01, 4.235645208594938753e-03, 5.835965899953388103e-01, 1.063943375300134900e-02, 1.199646148528500655e-02, -6.131592896047329162e-03, -3.345285953176753164e-03, 1.621081049345475100e-03, 2.759038979261755134e-02, -6.704275070239962275e-03, 6.244966405868479899e-04, -2.935570019983070513e-03
1403715524962142976, -5.547037916204896994e-03, 5.108491801723217055e-03, -7.778123240179094997e-03, 1.608335245882864736e-02, -8.118390999000550945e-01, 4.689439007738843528e-03, 5.836408234598967626e-01, -3.454242842712177113e-03, 1.860531481015699484e-02, -1.129251475068120819e-02, -3.344481556441466098e-03, 1.712222500852383445e-03, 2.716927919154677948e-02, -8.007367825748016449e-03, 4.270312418186978493e-04, -4.387587968202732482e-03
1403715525012143104, -4.342867528482385713e-03, 6.436093367238416262e-03, -8.140291469926671380e-03, 1.501644732403858637e-02, -8.115289363321365190e-01, 5.608659730436345303e-03, 5.840923169683227556e-01, 2.099724822366509820e-03, 3.790149064078067453e-02, -1.162706246725900283e-02, -3.350916126967514851e-03, 1.725962466576428690e-03, 2.713767399155930099e-02, -7.912931597510389908e-03, 3.885259420492273878e-04, -4.253226954972970202e-03
1403715525062142976, 1.118815647090603584e-02, 5.794934192673970377e-03, -5.340388360338715196e-03, 1.431793647673960078e-02, -8.112760562342806736e-01, 5.945047070098120195e-03, 5.844577090699846211e-01, 2.311734651701881360e-02, 5.009253147286123892e-02, -1.007733804601077497e-02, -3.106491022172227015e-03, 1.810849972662275601e-03, 2.747140745255237035e-02, -6.061008566455480286e-03, 8.163585682046384977e-04, -2.718290143793645336e-03
1403715525112143104, 5.078907296493206415e-03, 6.506316984309921600e-03, -1.080941313588877455e-02, 1.493723565295111341e-02, -8.113854680794473362e-01, 4.703394187183762912e-03, 5.843016166875326656e-01, 1.372772409971442439e-02, 2.841107269067047816e-02, -1.030786511105106877e-02, -3.269818470140578668e-03, 1.954790148429803257e-03, 2.826492075753316013e-02, -1.358828428443585590e-02, 2.381500067152927252e-03, -1.552004941414038795e-04
