# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1413393212305760512, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.686562725843722778e-03, -7.983734126658926789e-01, 0.000000000000000000e+00, 6.021566875232196026e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1413393212355760384, 7.311228438018331586e-05, -3.830401106800415667e-05, 5.943699779915537088e-05, 1.238587616114239249e-03, -7.976920937839855341e-01, 1.036912052578051148e-03, 6.030627780162142182e-01, 5.527340418082838693e-04, -4.760560841988879278e-03, 4.569432019057216533e-04, -8.999418440420255301e-05, -8.419241155605062849e-05, 1.180706754732198919e-04, -3.156552485569142395e-08, -9.448899872067185679e-08, 1.440739837684340748e-07
1413393212405760512, 5.319128466803213929e-04, -2.695573387789486548e-04, 2.578835102042192971e-04, -1.467481135531552641e-03, -7.957265721267270386e-01, 3.659411210630197746e-03, 6.056431933243840993e-01, 8.866945064531825405e-03, -3.887330450393469521e-03, 1.939863998800785572e-03, -4.403255765546108401e-04, -1.006515248036783205e-04, 3.603842310778029401e-04, -1.538558327477617421e-05, -5.087334823260902778e-05, 3.396328734757744067e-05
1413393212455760384, 2.884446285465256505e-04, 2.129097147314114292e-04, 1.288754909232384235e-04, -3.069989142926958861e-03, -7.956141245316321609e-01, 4.822593779228633026e-03, 6.057767597074582566e-01, 8.138963275311720397e-03, -1.829757404491541388e-03, 3.865622567230963570e-04, -9.244814404733394438e-04, -2.313979354833079448e-04, 7.099764337527836571e-04, -1.391152774810150384e-04, -4.589067324458673042e-05, 3.267642297206191994e-05
1413393212505760512, 4.087161356177961002e-03, -7.447789927752276710e-04, 6.043645272805377514e-03, -4.610753784195102505e-03, -7.910905819741455014e-01, 6.260603369936252639e-03, 6.116496030463797196e-01, 4.232360834544880712e-02, -2.780177203057138807e-03, 3.015299250729558400e-02, -1.738711086307494994e-03, -6.133916070825857223e-04, 1.837280440770632612e-03, -2.307777949801395688e-05, 3.737996802577642523e-04, 5.488791872859954697e-04
1413393212555760384, 7.168889582497736147e-03, -4.429674985751355307e-03, 1.187426165058217374e-02, -6.469943892172904699e-03, -7.957389932352931794e-01, 7.943037738255238206e-03, 6.055530551672601014e-01, 3.577039987695970757e-02, -1.335567626717661105e-02, 4.385657087591451897e-02, -2.136553265331521314e-03, -1.527388100804505280e-04, 2.839572004108830740e-03, -2.652371026291058028e-03, -5.323174942813418010e-04, 4.133617344068963553e-04
1413393212605760512, 5.284227380632978976e-03, -4.259567925131069535e-03, 4.508321264547908783e-03, -8.714047847910895081e-03, -7.997853784459978410e-01, 1.010875129528182245e-02, 6.001376733228357407e-01, 5.512686300780030371e-03, 5.473810270802695332e-03, 1.360958381775329365e-02, -3.255050773054229789e-03, 2.334890836029618420e-03, 3.980496616964575816e-03, -8.087337619373817857e-03, -3.105521176421087784e-03, 2.090532617416745315e-03
1413393212655760384, 4.571034689786177690e-03, -4.131820652439039884e-03, 4.736060053829160149e-03, -9.710159107720960081e-03, -7.996917269041348142e-01, 1.035340665722768103e-02, 6.002430022097514639e-01, -1.662280604388053848e-03, 6.834097900020754020e-03, 1.006965722073283574e-02, -3.064723023254556367e-03, 2.959027301671763015e-03, 4.089933738386067157e-03, -5.508582673143695881e-03, -1.231440525546072685e-03, 8.159039039334372006e-04
1413393212705760512, 2.711658374492143496e-03, -2.681926257595471270e-03, 4.465521985707147923e-03, -9.921357842033259530e-03, -7.993262820788045175e-01, 9.993938510920822096e-03, 6.007322054207564488e-01, -5.502628743978444682e-03, 1.016938513895901570e-02, 5.768410194918050307e-03, -3.257253326642813810e-03, 3.817741971853257088e-03, 4.379932748800870711e-03, -5.810790873671005038e-04, 2.234785030385990582e-03, -1.151673380482950244e-03
1413393212755760384, 1.796921515715488478e-03, -2.072246643022075934e-03, 4.848644678250316198e-03, -1.074062655736162872e-02, -7.995103456333653158e-01, 1.031739280952510135e-02, 6.004676490636162711e-01, -1.302335990245784454e-02, 1.818135999918231091e-02, 3.908943625681051033e-03, -3.443803225163975194e-03, 4.263163832350391237e-03, 4.647044267249134629e-03, 5.901754734774297337e-03, 3.462994318333742234e-03, -2.866777771856415195e-03
