# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1413394881605760512, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.325525352995786908e-02, -7.988959710116682045e-01, 0.000000000000000000e+00, 6.013231458668296670e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1413394881655760384, -5.424404389201120517e-05, -1.457566318681901272e-04, 6.909530583484592122e-05, 1.219192348560232432e-02, -7.989783319368514158e-01, 5.361334920516263843e-04, 6.012359725249367681e-01, -2.928914626373112576e-03, -1.281026560770247465e-02, 2.851062090276685994e-03, -3.629158827464539546e-05, -5.798508359333195131e-05, 1.360311135895197338e-04, -1.815060501234920637e-07, 5.282082517998722948e-08, -1.830573242878661588e-08
1413394881705760512, -2.065751507221585698e-04, -1.873537638064628954e-04, -2.860541491438141565e-04, 1.059432076671317814e-02, -7.985618969209526963e-01, 2.106406148393723428e-03, 6.018157693236692030e-01, -5.152387199457946279e-03, -2.454518353274159209e-02, -1.937161962735755010e-03, -2.754072985906709883e-04, 9.230707424020517370e-04, 8.711356938875336811e-04, -4.614334824037749164e-08, -4.976737166394036833e-06, 1.730837161708983972e-06
1413394881755760384, 2.580622449798779250e-03, 1.067009533955865039e-03, 8.130426727253394501e-04, 5.229794858506021764e-03, -7.942178711386448375e-01, 8.353759233897844333e-03, 6.075531557949469530e-01, 2.577011663787253173e-02, 1.514343490738301150e-03, 5.903561766676000341e-03, -2.178202119473096631e-04, 9.516113750752254290e-04, 1.824026070294169867e-03, 1.201288761740141323e-04, -4.092090145286114326e-05, 4.429109237134168858e-05
1413394881805760512, 4.046092172039571222e-03, 1.140292455861789504e-03, 1.073163900600697775e-03, 3.501688193064865506e-03, -7.937959034319640450e-01, 9.512410413305995988e-03, 6.080997581997211743e-01, 2.919360007809095395e-02, -3.743823326588019938e-03, 4.778537841540714953e-03, -2.156854352815290208e-04, 9.547370104748936206e-04, 1.836500961532783541e-03, 1.102853419722352434e-04, -4.336335875888957121e-05, 4.714921861840483131e-05
1413394881855760384, 5.848954697322637092e-03, 1.028690623647146585e-03, 1.276075623053083514e-03, 1.973306417020362444e-03, -7.934416117436883242e-01, 1.072550165494326815e-02, 6.085486656214216250e-01, 3.870512699999716782e-02, -2.047490622900152149e-04, 7.285515963447234105e-04, -2.488873695731594468e-04, 9.629520510102748806e-04, 1.950557836844954776e-03, 3.826660129199221293e-05, -1.133141114238911433e-04, 6.859810797034148519e-05
1413394881905760512, 7.958184280105739042e-03, 1.137634543673894530e-03, 1.309072586969455129e-03, 2.916458523238791081e-04, -7.931014760540723296e-01, 1.177220728428794196e-02, 6.089756799406725873e-01, 4.530592100082850987e-02, 2.616059452355227934e-03, -3.651250447242841701e-04, -2.488873695731594468e-04, 9.629520510102748806e-04, 1.950557836844954776e-03, 3.826660129199221293e-05, -1.133141114238911433e-04, 6.859810797034148519e-05
1413394881955760384, 9.983192833661547888e-03, 1.909867170890671394e-03, 1.010377937012248845e-03, -1.417605973793368158e-03, -7.927438408210871756e-01, 1.332388107856284989e-02, 6.094076365016589669e-01, 4.893420993597183410e-02, 9.820339946518890153e-03, -4.723246923536136843e-03, -5.156858559552353945e-04, 9.935449411390736424e-04, 2.298791407483782943e-03, 7.831308079874953155e-04, -6.384337879642783438e-04, -4.148143239931614584e-04
1413394882005760512, 1.302129975143113960e-02, 3.027506693290994613e-03, 9.206556100142271066e-04, -3.154205023608127809e-03, -7.923896325786455863e-01, 1.430519284221707689e-02, 6.098393908483571435e-01, 5.926915911144453597e-02, 2.584219317397332821e-02, -2.856031204162078063e-03, -5.976334592432599319e-04, 1.000947930202390670e-03, 2.370275334424205155e-03, 8.479654428858630780e-04, -7.735524580741253396e-04, -5.142500856304511392e-04
1413394882055760384, 1.672853152598949983e-02, 4.589936026297894607e-03, 8.925715625673522838e-04, -4.800382102869552026e-03, -7.920646875394566910e-01, 1.567418492422531853e-02, 6.102170163242343071e-01, 6.905911002799537679e-02, 3.313040327722718142e-02, -3.978355694000791989e-03, -6.783190171081927193e-04, 1.013735321154650383e-03, 2.447241337763542135e-03, 9.082726069611802167e-04, -9.552645785476515661e-04, -6.937573077295484730e-04
