# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520622050837047850, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.839977425678269995e-02, -1.719621406747436770e-02, 0.000000000000000000e+00, 9.996828189626173478e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520622050887048850, -9.928785179947794380e-05, -5.308711869302746786e-05, -2.288791086164843796e-04, 2.299286485166848748e-02, -2.273911478395774025e-02, -4.281466123655842016e-04, 9.994769019418273670e-01, -4.039994162023934944e-03, -8.146108995912906825e-04, -1.130514787300252594e-02, 1.855592865120657983e-05, 4.986203169823422501e-05, 5.576359441908060219e-06, 2.031231232228946898e-07, 3.585900016593652677e-07, 5.028661917059106433e-07
1520622050937083201, 3.423433101974911186e-05, 3.884112324173425519e-04, -4.050102869812666857e-04, 2.253062349001619738e-02, -2.641845565783504379e-02, -6.236124085447874695e-04, 9.993968417567519191e-01, 8.933440284062748107e-03, 1.319852140134155152e-02, -1.786422828729143306e-02, 1.293284800339815702e-03, -1.206999309461977577e-03, -8.492325383952326967e-04, 8.007930176128152337e-04, -5.772543718428930918e-04, -9.400170871645758186e-04
1520622050987084201, 4.064292789166470293e-04, 6.289444287302745767e-04, -4.202493569499779653e-04, 2.196983026254091531e-02, -3.034118133444944562e-02, 4.970210169473356218e-04, 9.992979997195902131e-01, -1.879746448989751909e-04, 2.135822555153774061e-02, -4.578861532155828126e-03, 2.519392053222973410e-03, -7.524730577348843954e-04, 6.288182916337738343e-04, 2.294944327451770710e-03, -4.987815644789450392e-04, -7.183854909925308646e-03
1520622051037086201, -1.561826595086160570e-04, -1.119857883494601407e-04, -4.634375384248446686e-04, 2.723452078759670825e-02, -3.051537500165391742e-02, 4.873070038783690631e-04, 9.991630774292364903e-01, -1.928534067439345925e-02, 1.186240688079563156e-02, -1.758483567210576822e-03, 2.208219319026823169e-03, 1.357103510478176135e-03, -1.752268338276917296e-03, -1.496485417206530263e-03, 5.507998980843156105e-04, -6.405203682668128562e-03
1520622051087087201, 1.852757318999536653e-04, -2.190147280628875533e-04, -1.736417178119647206e-04, 3.002018958539539803e-02, -2.753831718686283042e-02, -5.055716787579952456e-04, 9.991697421865067819e-01, -1.398631326983890838e-02, 1.238650123348997677e-02, 3.035153129487939971e-03, 1.830411340772403672e-03, -1.037047983236677332e-03, -4.463663981085790392e-03, -2.676949340922340353e-03, -7.411464858674102511e-05, -6.205035779337250354e-03
1520622051137089201, 6.031947283438185642e-04, 1.302281364076925260e-03, -9.922565902787481434e-04, 2.781949299505949783e-02, -2.391697284565772602e-02, -7.758251315940356422e-04, 9.993264993558227394e-01, -2.076364160668673492e-02, 9.324153723732488824e-03, 2.016568103412896135e-03, 2.059320892280312905e-03, -1.170324589358355668e-03, -5.152982120456275558e-03, -1.961489366082775927e-03, 2.221047470905051688e-05, -4.381011111904277271e-03
1520622051187090201, 1.516094811831645477e-03, 5.907587245079640777e-05, -1.946803259838173535e-03, 2.750321204184967561e-02, -1.412906037948128204e-02, -7.268212139182405425e-04, 9.995215929188808746e-01, 1.041807002548686759e-02, 8.404815518457628767e-03, -1.335035241948523410e-02, 3.467257549414953267e-03, -3.341348798085332257e-03, -8.700632424691191746e-03, -2.597616175082055482e-04, 4.844393226976210186e-03, 2.934041866696214008e-03
1520622051237092201, 3.732268272171782031e-03, 2.275934083793140685e-03, -2.492981031870259052e-03, 2.825017587103174910e-02, -9.947883047335884590e-03, -2.952193968918619040e-03, 9.995470232744941841e-01, 2.105496047017080957e-02, 9.676493123638808813e-03, -2.618695223599538241e-02, 3.555542091125047689e-03, -4.980398679457276497e-03, -4.442927149374061892e-03, -2.841052528021291781e-03, 3.885831021861475484e-03, 1.978385003189673391e-04
1520622051287094201, 2.613653141218840077e-03, -5.696104047467987451e-03, -1.761607016408624563e-04, 3.294259621339336308e-02, -8.794044936558833084e-03, -2.436620123731412287e-03, 9.994155857353576033e-01, 3.911983064534702015e-02, 1.936719523749906580e-02, -3.916826260187956238e-02, 1.123868565081970455e-03, -4.122702337520353470e-03, -3.202633524877093914e-03, 2.143005739047955556e-03, 1.704319311084975851e-03, 2.845322960227216272e-03
