# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520511143156637778, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.742639903043508104e-02, -5.373654783108214317e-02, 0.000000000000000000e+00, 9.969024988039678625e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520511143206636778, 1.975624802095275008e-04, -1.106813398046323552e-04, 1.766790504728292380e-04, 6.338826361889518535e-02, -5.075645510341788430e-02, -1.722442057947586643e-03, 9.966959132524189080e-01, 6.891520964693452662e-03, -4.381272375183495674e-03, 2.566747034165906514e-03, 3.287859038734977266e-05, -6.782174416001582674e-06, -1.139125395398482555e-06, -2.488335455425962106e-07, 1.703952336200228595e-07, -6.459880839960697812e-07
1520511143256638778, 1.145859336505106706e-03, -1.653613895274307771e-03, 1.565870950676095160e-03, 6.444704235050605079e-02, -4.453534961707784900e-02, -1.762171068151802654e-03, 9.969253112043466869e-01, 1.227693582493108275e-02, -2.214159803652194711e-02, 1.438308782493867739e-02, -2.607417230046217213e-03, 1.397328580370174426e-03, -2.234109642172761763e-03, 2.331695046094496603e-04, -1.662086559567165617e-04, 1.998798411709329858e-04
1520511143306639778, 2.035729701824705133e-03, -2.642710320326047309e-03, 2.150198604856460357e-03, 6.335889751749129717e-02, -3.857993815759844236e-02, -8.594107971235540261e-04, 9.972444534266440286e-01, 1.783308887858256475e-02, -2.797205822584881985e-02, 1.057580998196874615e-02, -1.456514545728476197e-03, 1.342506092698744118e-03, -7.142558573998234600e-04, 3.164653227597266465e-04, -2.277827136575454351e-04, 2.530628527942127668e-04
1520511143356641778, 2.099747158683542333e-03, -1.026351264838786534e-03, 1.246425909429073504e-03, 6.298131950913787858e-02, -3.584467825637187993e-02, 2.278067474354480981e-03, 9.973681982308075789e-01, 1.603340792250903049e-02, -1.742620505233772460e-02, 7.769148050038683292e-03, -1.456339831488626070e-03, 6.557439495597465603e-04, -2.448418007094081347e-03, 9.540053524636699697e-04, -3.717422900481897230e-04, 7.126823467643093966e-04
1520511143406688778, 5.393033035475712847e-03, -1.858210064207073582e-04, -5.431373462816352707e-04, 6.428505312265213323e-02, -3.620060561632423152e-02, 4.878281991176508861e-03, 9.972628291793712574e-01, 1.381771092630498625e-02, -3.431071945596540773e-02, -6.294823306374581692e-03, -1.037177966050893598e-03, -1.159912499313020106e-03, -5.401969514194126035e-03, 5.834396150512514067e-04, -6.179688177238969399e-04, 7.763736879178970325e-04
1520511143456643778, 5.653100660611898830e-03, 9.133579216245651337e-04, 1.803849970545179111e-03, 6.083353446267616288e-02, -3.331718212899255349e-02, 5.306912859947504266e-03, 9.975776075752998961e-01, 2.223950572874920650e-02, -2.315743428229308579e-02, 7.825623829343670429e-03, -1.221584632717468647e-03, -1.097143397415817562e-03, -6.935251929035001622e-03, 7.460602918305315242e-04, -4.235592972262678182e-03, -9.456715501507757717e-04
1520511143506645778, 7.350718273812268007e-03, -2.337655568845948433e-04, 2.512556045159653785e-03, 6.014853818967994675e-02, -3.112875140982523242e-02, 5.694291826793331478e-03, 9.976876912290245647e-01, 4.276181140476868064e-02, -2.720064738412360933e-02, 2.130090168967954320e-02, -1.217345943319771790e-03, -1.120502553289850134e-03, -6.910950635480196148e-03, 7.277314609700017691e-04, -4.195534632224056856e-03, -1.001570960233218481e-03
1520511143556647778, 1.010144991102064106e-02, -1.836860716822522402e-03, 3.735732821799230517e-03, 6.070290857927077011e-02, -3.264940468972955812e-02, 5.498453497275576987e-03, 9.976066059687863641e-01, 6.624460194675853286e-02, -3.559387315500685961e-02, 2.688620392232013087e-02, -1.225067813994308846e-03, -1.138231474012847385e-03, -6.917146178418624378e-03, 6.982651838729053966e-04, -4.171051452803362786e-03, -1.039641544497296862e-03
1520511143606708567, 1.424508919678702662e-02, -3.647645397627135785e-03, 5.281418728041028035e-03, 6.234815503060159303e-02, -3.425965591967710527e-02, 5.144041425052025066e-03, 9.974530176295838269e-01, 9.489054618293858712e-02, -3.942949713400270562e-02, 4.007365013709673907e-02, -1.243290671587129635e-03, -1.196225455165468013e-03, -6.929660307663999992e-03, 6.671777869113649801e-04, -4.142914281239980234e-03, -1.046027230474031941e-03
