# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520530308249448626, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.390511062736799870e-03, 8.708317874258450497e-03, 0.000000000000000000e+00, 9.999475524197674048e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520530308299450626, -2.110243535556930003e-04, -1.149729657301553189e-04, 1.857077772797367929e-04, 3.943955970414986939e-03, 8.669981260681493968e-03, 1.730534009395812839e-03, 9.999531398462057075e-01, -1.282337206624777765e-03, -4.086783289380911677e-03, 3.525109245105609648e-03, -1.001386851879357363e-05, -9.750710243421585404e-05, 5.881592203368668051e-06, 1.610110667282487123e-07, -4.534539335910606629e-08, -1.557909649047274711e-06
1520530308349502521, -2.540689279772948678e-04, -5.241178986186188033e-04, 4.262975351144485353e-04, 1.010173170489023046e-02, 6.784573254316032982e-03, 2.462066775897243757e-03, 9.999229284347420643e-01, -3.367370326166794700e-04, -7.585776900141271220e-03, 2.421913915354958861e-03, -1.535837158903617715e-05, -8.497017242951651465e-06, -9.174582113860566186e-05, -1.241454157293722790e-06, 2.767059499707395211e-06, 1.252501580787758775e-05
1520530308399504521, -5.165345129339482706e-04, -1.307922514658124702e-03, 7.324605033403603759e-04, 1.105603868741454436e-02, 6.626841712665297937e-03, 3.166322705769943416e-03, 9.999119078088732904e-01, -6.433494607992114658e-03, -1.476642233998022406e-02, 8.136030313053021698e-03, -2.946653856844127909e-04, 1.789707239263575831e-04, -5.133195692942075150e-04, 9.214256817554818834e-06, 1.646630557803136130e-06, 2.076928165761846300e-05
1520530308449504521, -7.567333297562614611e-04, -1.425972142144873740e-03, 9.604261960160164705e-04, 1.088353942016108931e-02, 4.343393307707603401e-03, 2.026034916996264420e-03, 9.999292868432145820e-01, -6.748833881501404078e-03, -9.382669203301045868e-03, 7.680677379694629374e-03, -4.375442980937890706e-04, 2.870613505638098281e-04, -6.683760631251298373e-04, -6.983738778535724030e-05, -4.783459018804226673e-06, 1.628623046366699755e-04
1520530308499506521, -6.680894995015629074e-04, -8.760060674137398751e-04, 6.358742646367055926e-04, 7.430944178595159585e-03, 1.850696481508269002e-03, -2.572483681220286318e-03, 9.999673686270257322e-01, -1.469714249083800897e-03, 2.295375182033331657e-03, -9.161358341833431007e-03, -6.945256378783767285e-04, 5.756331751071454544e-04, -7.458343293173814309e-04, 1.615341895123355818e-04, -4.131667141211081348e-06, 3.431799005137651615e-04
1520530308549507521, -5.497371348390568159e-04, 3.724755015966939092e-04, -1.323238834573889399e-03, -2.240577358999728923e-03, 6.923324275222143484e-03, -9.253744592964284824e-03, 9.999307054016727259e-01, -8.077153911071888182e-03, -4.606568724602371281e-04, -3.273660046868086954e-02, -1.437166510234074747e-03, 2.743626996969314273e-03, -8.577349328057863598e-04, -1.468052329530362705e-03, 4.530486775424895509e-05, 9.069123296929449893e-03
1520530308599509521, 2.710091569004577806e-03, -9.957788317519981197e-04, -1.455579834899354327e-03, 2.376116982680076366e-03, 1.318871728401803563e-02, -1.409904168308084328e-02, 9.998107965150735410e-01, 1.418325645298214831e-02, -1.574969567827889938e-02, -2.450479900991939936e-02, -6.334318253148427807e-03, 1.687695088357843952e-03, 1.663299785370244126e-04, -1.129860699086445743e-03, 4.195511186161965855e-06, 1.232508608516497822e-03
1520530308649555521, 1.571635338370671155e-03, -4.990909259983237166e-03, -4.263703097517229949e-04, 1.409936952442848897e-02, 1.314042350881845095e-02, -1.278665014124736633e-02, 9.997324835310634761e-01, 2.758798429585937462e-02, -4.591164472652554257e-02, -3.836103954118208481e-03, -8.009283537017557880e-03, 2.962480565231464906e-03, -1.126952802156775324e-03, 1.873194766289886914e-04, -2.700779757426564551e-05, -3.889691417713019364e-03
1520530308699512521, 5.874865416217927910e-04, -3.997091739279926698e-03, -5.030254030882497793e-04, 7.124663586957354078e-03, 1.195179540903654886e-02, -1.033757038563741862e-02, 9.998497529098037129e-01, 3.189842041840527942e-02, -3.502745891237337220e-03, -5.888019253350060961e-03, -4.847320997204076706e-03, 1.448191419004541932e-03, -2.930864726661153597e-03, 8.571841356319054306e-03, -6.623105469076954208e-05, -1.085295050740524292e-02
