# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1520520210068768843, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.932811248369576324e-03, -1.738320930565477596e-02, 0.000000000000000000e+00, 9.998174306041746062e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1520520210118768668, -3.096295262731681239e-05, -6.465142779078260349e-05, -2.211769514932369679e-04, -4.642914736675159831e-03, -1.980216268530308327e-02, 1.455983698567263655e-04, 9.997931268501737412e-01, -2.262071809589742948e-03, -2.408104845954887191e-03, -7.515012886316289192e-03, -1.228262969332644409e-04, -6.013564828641359167e-05, 2.363025874894254905e-04, 7.402565780722702146e-08, 3.092096524428389981e-08, 4.815577415496932180e-08
1520520210168770668, 5.160064956141102775e-05, -3.695790042830529500e-04, -9.873673655892765792e-04, -3.598053362695233150e-03, -2.140353623321318566e-02, 1.003947767415018727e-03, 9.997639395065183177e-01, 6.050949473558522168e-05, -7.405693177153228370e-03, -1.454053331799605789e-02, -2.124846689579582785e-03, -8.474014349724337362e-04, -7.775210630981731555e-04, -1.113137382242900521e-06, 5.402891079004552284e-07, 1.764239462819065383e-06
1520520210218772668, -2.819012322045193761e-04, 7.419289729939321579e-04, -3.912954330591214406e-04, -8.045964228284560593e-03, -2.051814422477634889e-02, 2.221635730600684568e-03, 9.997546361742410959e-01, -3.711028755198240645e-04, 5.064408386239399248e-03, 5.258896514356431462e-04, -1.142638753276838982e-03, -3.756933778273228368e-04, -5.033554668844428173e-04, -7.400436318475597493e-04, -2.143358148724173323e-04, -3.452148441246624135e-04
1520520210268773668, -7.081922288253400359e-04, 3.414440650798144681e-04, -2.317784140313267766e-04, -1.050920614791788291e-02, -1.976280335767790011e-02, 3.550807639133865198e-03, 9.997431569931830575e-01, -6.920082213199618693e-03, -9.972552123577340180e-03, 1.443831155365635742e-03, -1.036891150802466939e-03, -4.456857438797041720e-04, -4.456511376814835433e-04, -8.972849436285887164e-04, -2.355574253961848386e-04, -6.010487516408760276e-04
1520520210318774668, -7.726198889912235142e-04, -7.455091756538065979e-06, -1.030241805500749669e-04, -1.207054956877635053e-02, -1.812065956649436260e-02, 3.067589103676069805e-03, 9.997582374889811829e-01, -7.141470855922336068e-03, -2.870132795662315179e-03, -1.587460902243813254e-03, -1.065035683345973757e-03, -2.331152368190298201e-04, -1.628599305710462801e-04, -9.540732761124708300e-04, -2.686247791818732874e-04, -6.248906593943145569e-04
1520520210368776668, -5.910468462976503591e-04, 9.577728814735681460e-04, -1.858529050777329213e-03, -1.279199057531691178e-02, -1.519884075156260547e-02, 3.431343267335279675e-03, 9.997967723994269917e-01, -3.120018105329302582e-03, 1.078943800764804901e-02, -1.154447174487545358e-02, -1.458609258593719172e-03, 2.345839393055913563e-04, 1.594272995553239550e-03, -3.930994544914746184e-04, -1.476322696756159026e-04, -3.684430164518278381e-04
1520520210418778668, 1.057523262993176707e-04, 2.081585459374985479e-03, -6.425215006047779211e-03, -1.127160545968950919e-02, -1.326821070445026972e-02, 3.476298058295087569e-03, 9.998423980042421277e-01, 4.306042632924429389e-03, 1.669409935110007306e-02, -2.529218201979518618e-02, -5.473476519605629045e-03, -3.112438480685073700e-03, 4.569062386518970079e-03, 4.584204216880447684e-06, 5.787255677645819103e-06, 1.297688683583216752e-05
1520520210468779668, 1.807881065082119973e-02, 3.756590006125379994e-02, -1.847403135994045431e-02, -4.052951993284286368e-03, -1.499546912529230516e-02, 3.912064396721236410e-03, 9.998716943878391827e-01, 4.780812387145669945e-02, 8.526981320256121766e-02, -5.619025037987764731e-02, -3.352595506219561809e-03, -3.217924753081796620e-03, 6.104729202712711779e-03, 1.247598891276342813e-03, 2.059334003175182379e-05, 4.825940389965386722e-04
1520520210518786019, 4.940724535862793011e-03, 4.192277543723904772e-03, -1.523375732315666213e-03, -2.226562772241185567e-02, -1.536426597435174533e-02, 4.552486154598986944e-03, 9.996236571945507077e-01, 3.890329763032973273e-03, 8.063658107096272065e-02, -5.722368350927204209e-03, -6.205773224779674406e-03, -1.840328431896517914e-03, 8.255322334860806452e-03, -1.840187573667664660e-03, 2.082333995074784738e-04, -2.707769112819889343e-03
1520520210568787019, 1.002223124158856593e-03, -1.326697046059571033e-04, -8.400167778304459560e-04, -6.874186736528031067e-04, -1.551457598766024619e-02, 4.285432677756076565e-03, 9.998702218059376534e-01, -6.845888595556287939e-03, -2.520318822176943058e-02, 7.271461217852031450e-05, -7.087817801987150029e-03, -4.047380127639859347e-03, 4.959013028172418354e-03, -3.501931640994188077e-03, 3.353714360654864524e-04, -1.633922576891887884e-03
1520520210618789019, 3.596854732875108714e-03, 1.765828390223317303e-03, -5.456369352734036400e-03, 2.447987480469130620e-03, -1.626374093169049087e-02, 2.575813801260170340e-03, 9.998614220338054581e-01, 3.257991542210285363e-03, -3.298146947617600772e-02, 2.879573858539525785e-03, -6.886195403979377197e-03, -3.680881591915880890e-03, 4.951121285765489564e-03, -1.381830213409589603e-03, 1.681433576570194989e-05, 1.517818528759052373e-03
1520520210668790019, 4.484720310630909215e-03, 1.377978204240620915e-03, -7.971316690578164957e-03, 2.252515642829308520e-03, -1.512288866371423908e-02, 1.782180090915312350e-03, 9.998815171038354377e-01, 2.088977856192019561e-02, -1.732690564868987274e-02, -9.538820067169412331e-03, -5.416922267902231011e-03, -3.554039879848930848e-03, 5.048600033008669025e-03, 5.956474193148450372e-04, -1.362606305806703675e-03, 6.351447785677538302e-03
1520520210718792019, 3.432638018998398349e-05, -1.494716399734453104e-04, -4.520185385654341276e-03, -2.614037166140077435e-03, -1.911554209957013611e-02, 4.055250716364884774e-03, 9.998056400128781940e-01, -4.889293216686177966e-03, 2.265110332216864128e-02, 7.358842139277396027e-03, -4.595545512127018235e-05, 5.246798671890320724e-04, 9.198074126807813909e-04, 3.441791587643896685e-03, -2.836719627628800627e-03, -1.694898068218626732e-03
1520520210768794019, -3.746381252951764152e-04, -1.369574301071973046e-03, 7.484222684449204788e-04, -1.472704656077785442e-03, -2.092849952246318701e-02, 6.069877771565312073e-03, 9.997614643666621337e-01, -5.265988614313181146e-03, 1.769307320527894328e-02, 1.914629710395866422e-02, 5.337515873576416424e-04, 1.905747045971577952e-04, 1.534089856361200033e-03, 1.085332925196335827e-04, 8.164821188450040353e-04, -3.790689405680038038e-03
1520520210818795019, -8.696113448583102628e-04, -4.889866499491552160e-04, 1.707943475099531726e-03, -2.046265519221533193e-03, -2.215728775636327530e-02, 8.278374095377783598e-03, 9.997181282336754515e-01, -1.922730259657052382e-02, 1.299466167104317699e-02, 1.935157285180183484e-02, 5.337515873576416424e-04, 1.905747045971577952e-04, 1.534089856361200033e-03, 1.085332925196335827e-04, 8.164821188450040353e-04, -3.790689405680038038e-03
1520520210868796019, -2.414820149290387592e-03, -3.657999933966292645e-04, 2.527498314624529539e-03, -8.662989868053086288e-04, -2.395787942965628414e-02, 6.572048346758818313e-03, 9.996909911166688145e-01, -3.917510972963290927e-02, -4.174228637664298414e-03, 1.233681798112185382e-02, 5.337515873576416424e-04, 1.905747045971577952e-04, 1.534089856361200033e-03, 1.085332925196335827e-04, 8.164821188450040353e-04, -3.790689405680038038e-03
1520520210918798019, -3.307150320955196902e-04, -9.047755419167124828e-04, -2.216023030618831813e-03, 1.377499204580908115e-03, -2.325938229352485925e-02, 4.248531055647760540e-03, 9.997194874639256934e-01, -1.260133755804818123e-03, 3.315076172863705688e-03, -2.632800369539774893e-03, -4.239901220174485110e-04, -2.949520720863272466e-03, 1.650874978283224702e-03, -1.354616984799531659e-02, 1.650030837957957392e-03, 1.300894759786964949e-02
1520520210968815948, 4.359217904032421272e-04, 1.865875696609306609e-03, -2.235550276528124394e-03, -8.304161801010633481e-04, -2.246852061706435325e-02, 5.111992802677403809e-03, 9.997341364181949741e-01, 1.112339163017622354e-02, 3.666279919457256231e-02, 5.034704857023140911e-03, 7.618952779633512929e-04, -3.898931867813600072e-03, 1.385235665842548701e-03, -5.791742556819225174e-03, -2.446843723805542173e-03, 6.433223926527936905e-03
1520520211018816948, -4.767886878965976218e-03, 6.851251752823556140e-03, -1.779336494638208283e-03, -3.745519109283711092e-03, -2.160426055931146533e-02, 5.909613442020339794e-03, 9.997421184891899237e-01, 8.541981734533533530e-03, 4.744972004145214112e-02, 1.129721171970599590e-02, 8.871650554669744185e-04, -2.914618242355736071e-03, 7.014891528126784371e-04, -5.440760356480956947e-03, -1.399320554867255345e-03, -6.519012457166465518e-04
1520520211068818948, -2.677470173014132038e-03, 3.578519006731082763e-03, -1.053202922694741186e-03, -2.389847123009876655e-03, -2.405720329956086839e-02, 5.863723554928767373e-03, 9.996905302873504429e-01, -9.786363038548732962e-03, 2.629081292043604703e-02, 8.776356841774567499e-03, -1.833921998835032555e-03, 2.274625605609867547e-03, 2.132223534638797574e-03, -1.476236703675973304e-03, 1.909641266945333142e-03, -2.258871088553228088e-03
1520520211118819948, -4.806233979950967627e-03, 3.540789575134889282e-03, -7.485798566975044709e-04, -1.905629542281317011e-04, -2.588107717471385336e-02, 8.878363779619436943e-03, 9.996255839996462944e-01, -1.263289011109096707e-02, 1.981221092157701980e-02, -2.689273622949220691e-03, -4.224238179838017693e-03, 4.013104585158999357e-03, -2.300319933425763221e-03, -3.746858247308233400e-03, -3.861664859980181580e-04, 6.042866479456867473e-03
1520520211168821948, -3.710176068961366491e-03, 2.352856824444995304e-03, 2.649705018598268354e-03, 1.065218491668335106e-03, -2.534284542498100104e-02, 8.778002012632468015e-03, 9.996397111839828709e-01, -1.837218852345377448e-02, 2.463562082985105289e-02, -3.485355941423481582e-03, -6.065808623187640171e-03, 1.193413317370305322e-03, -1.176505635976572402e-03, 8.292868873961545609e-03, -7.408103578899785831e-03, 1.315858328786798266e-02
1520520211218822948, -5.405147876145545774e-03, 6.749056737217450086e-04, -3.064278953918340943e-04, -1.043636992447206008e-04, -2.345418796035830811e-02, 1.018566766366736480e-02, 9.996730177160849662e-01, 1.240445176162254665e-03, 6.037142380658565982e-03, -7.629992282779534535e-03, -4.475624818633881265e-03, -2.574279391837863869e-03, -2.211532710812327395e-03, -2.669564538087323968e-04, 7.052238954054375168e-03, 9.678337703320088331e-03
1520520211268824948, -1.707325535352141599e-02, 1.229597750508504977e-03, -1.964069330499251809e-03, 8.624017183997862183e-05, -2.242626642936350334e-02, 1.065663978835915300e-02, 9.996916980575026868e-01, -1.331821774602226505e-03, 9.728727472461073250e-03, -1.262232439094481545e-02, -3.721725207601602522e-03, -3.566251831502915883e-03, -1.986743243629501571e-03, -1.077070076111217656e-06, 1.841731982416004981e-03, 6.352245284576057884e-04
1520520211318826948, 1.901005572731309309e-03, -6.808473590897169518e-03, 1.574372227457875549e-03, 2.928723282140791029e-03, -2.116109320094945387e-02, 1.004740934163094422e-02, 9.997213013035178841e-01, 1.148354552669525290e-02, -1.414986440253614142e-02, -6.377963850731004254e-03, -2.055880717346882797e-03, -8.136439082883294496e-03, -5.662004036427330548e-04, 4.967193577178603478e-03, 3.044721921050798363e-03, -1.050788305288227406e-02
1520520211368833282, -3.770129372912566380e-03, -3.508748912413919927e-03, 2.033506631253344764e-03, 4.964745360206193441e-03, -2.226752872502437905e-02, 9.046605754613265202e-03, 9.996987883319201629e-01, 8.995386593724619129e-03, -5.810761524417644083e-03, -1.027189496207804066e-02, -2.801278282825003362e-03, -6.257050936930216682e-03, 6.248333859743404736e-04, 2.078640380367909892e-04, 1.190414765173568269e-03, -9.791602964824210054e-03
1520520211418835282, -3.106558693996785102e-03, -3.418851364633399524e-03, 1.456401599152323855e-03, 7.899689791457430513e-03, -2.346058205060474675e-02, 1.058221643222641804e-02, 9.996375406548252407e-01, 1.388671116856975835e-02, 6.028549401401166880e-03, -1.070989355117107911e-02, -2.801278282825003362e-03, -6.257050936930216682e-03, 6.248333859743404736e-04, 2.078640380367909892e-04, 1.190414765173568269e-03, -9.791602964824210054e-03
1520520211468836282, -2.559209370557240498e-03, -1.228504721104139996e-04, 9.222086608395937577e-04, 9.384241190409597574e-03, -2.631950064163393263e-02, 1.231103044146933910e-02, 9.995337205080800924e-01, -1.963440900825891636e-04, 8.368956048713925566e-03, -8.430555114199952613e-03, -2.931358421157838432e-03, -5.858412332482952102e-03, 7.228955518635946272e-04, 4.288899171885073871e-04, 3.939795496460973302e-04, -1.102745351508310767e-02
1520520211518838282, -6.198318676093325826e-03, -1.600952296676160652e-02, 3.514598386212270786e-03, 8.721437448792517325e-03, -2.635807359302809461e-02, 1.397979222388015183e-02, 9.995167601869758833e-01, -2.329773238466521096e-02, -1.448029351115187602e-02, 3.875252294813421108e-03, -1.506961730345319182e-03, -4.523416324878335761e-03, 4.517050718870530587e-04, -1.366276015476180377e-04, -9.214375493825940986e-04, -1.517459087312369656e-02
1520520211568839282, -1.078445178252104841e-02, 9.963584527792335166e-04, -1.634983583466251018e-03, 7.410261436683324501e-03, -2.365336939727809978e-02, 1.507960480275095591e-02, 9.995790172170426757e-01, -3.064306524851111851e-02, 5.946025914320436645e-02, -1.296672323378448080e-02, -9.349883383477636386e-04, -6.151008095639163599e-03, -2.403291107561297216e-03, 2.714526335340187568e-03, -3.722627772749417460e-03, -2.682377310391639152e-02
1520520211618841282, -2.174995735915381118e-02, 1.241895897472834569e-02, -8.578507584476171427e-03, 1.138381610586603442e-02, -2.503906925108084422e-02, 1.359274616394062947e-02, 9.995292346868250855e-01, -6.006453383508630200e-02, 3.327716087493211294e-02, -2.421983175878474059e-02, -1.294598273925316994e-03, -5.902125800166736075e-03, -2.415973596699645069e-03, -3.151100171960866548e-03, 2.103405571731665515e-03, -2.218755171800350368e-02
1520520211668842282, -2.547361482793660675e-02, 7.127113904302782854e-03, -8.517028986114959926e-03, 1.623505237018111474e-02, -2.991571848477773618e-02, 1.048817195261087312e-02, 9.993655342822111987e-01, -1.096148753479229132e-01, -2.142552110126842713e-02, -3.152839068733715583e-02, -1.144178860224074300e-03, -2.741645605287437813e-03, -2.256535657681817911e-03, -2.073361270473805806e-03, 3.825092250798795782e-03, -1.464195933049251830e-02
1520520211718845282, -7.604652269325080406e-03, 2.267156677279622348e-03, 2.304216437006846281e-04, 1.770163231412227520e-02, -3.076458653545452449e-02, 5.549034619821343120e-03, 9.993544919814522087e-01, -1.175718397347903094e-01, -7.870373449996493145e-03, -1.969696347928194188e-02, -2.217664115817608375e-03, -2.837026783967599042e-03, 1.538803277430547548e-03, 1.393431206755234991e-04, -4.250960163427016519e-03, -1.692258958712970426e-02
1520520211768860808, -1.327911871270344608e-02, 2.883641835788488920e-04, -1.685226890329989159e-03, 1.803461594463585255e-02, -2.867710825837138655e-02, 3.751630199291420761e-03, 9.994189818892349475e-01, -1.126594313741972192e-01, -1.793393946577169842e-02, 7.491187176118119934e-03, -4.558729728659364263e-04, -2.891960752440114399e-03, 2.019809190219266568e-03, -1.386221391803995999e-02, 6.882333131776973908e-03, -2.580285453872388501e-02
1520520211818862808, -9.330041008561957422e-03, 4.800313631749075424e-03, -9.914001209709885284e-03, 1.535222317600226476e-02, -2.443241669417582293e-02, 2.612385491737623765e-03, 9.995801827267681849e-01, -8.730118937680056423e-02, 2.169941077472489419e-02, -1.285274201827189995e-02, 1.987279988657457332e-03, -5.933315982497625561e-03, 3.336795600281166393e-03, -9.569934160756453714e-03, 1.812094309644483002e-03, -8.953106423437062061e-03
1520520211868863808, -1.122557736792973750e-02, 4.367743662374287683e-03, -5.567879489820248134e-03, 1.630459832739339365e-02, -2.537265898486504995e-02, 3.519356790287404054e-03, 9.995388948796354311e-01, -9.498875447777724301e-02, 1.122583913984970261e-02, -8.024464575068977062e-03, 1.060193362308818436e-03, -5.436383630101762794e-03, 3.001465335958637681e-03, -1.230123582841086832e-02, 3.494298883804501654e-03, -8.853691814561691006e-03
1520520211918865808, -1.498105679619299302e-02, 2.364363084535340935e-03, -4.446961417349098132e-03, 1.640099279961681686e-02, -2.727631628602057712e-02, 4.659849971529650761e-03, 9.994825140057702617e-01, -1.143477348774972618e-01, -1.914402231615511957e-02, -2.115930061477188599e-03, 7.636156269762580610e-04, -5.101451295436479870e-03, 3.019206370000922669e-03, -1.147639971492314323e-02, 1.500700451364934095e-02, -1.425823661026953855e-02
1520520211968866808, -9.661576359161101746e-03, -7.538508140275136313e-03, 2.061705890939646759e-04, 1.657807180115160664e-02, -3.085844174036318083e-02, -3.395841042218311016e-03, 9.993805042987022880e-01, -1.475923879647119408e-01, -5.532977403313259906e-02, -4.150294939263775816e-03, -1.617284759861910889e-03, -1.734357901430490755e-03, 1.217481869071459187e-02, -1.350930734473758735e-02, 9.150867311093005552e-03, -1.358878257715778054e-02
1520520212018867808, -1.848243993321250361e-02, -1.060515186977200458e-02, -4.594153309906227325e-04, 1.392798504301685780e-02, -2.974813309200620773e-02, -2.500871239621831488e-03, 9.994572554407842313e-01, -1.753497152089230626e-01, -6.066861555389329447e-02, -5.868792052168862391e-03, -1.843900151755228489e-03, -7.988454053453792909e-04, 1.135019407015338232e-02, -1.310667474591521893e-02, 1.432814727336294974e-02, -1.314726879933912455e-02
1520520212068869808, -2.946225615447110521e-02, -1.324466337298530264e-02, -1.246801127901337163e-03, 1.098123487665806676e-02, -2.747219958243628940e-02, -1.587578406667521135e-03, 9.995609887973265772e-01, -2.273020104638886763e-01, -5.682315178143181045e-02, -1.206637529704840395e-02, -1.686136138680885974e-03, -7.966968626541685340e-04, 1.108894921958585196e-02, -1.193697297003818748e-02, 1.381133990784316756e-02, -1.332155158120072042e-02
1520520212118870808, -4.464122567273474951e-02, -1.540918098873501549e-02, -2.931983275204101680e-03, 9.570284468965819386e-03, -2.506404020835685878e-02, -4.644621332836341423e-04, 9.996399290837394425e-01, -2.851976277546802718e-01, -4.714932092701294014e-02, -2.301198320901916283e-02, -1.293181772184027892e-03, -7.651172789603115018e-04, 1.067870023141074404e-02, -9.889387461730406864e-03, 1.331278146031681514e-02, -1.359831075047683580e-02
1520520212168889861, -8.514598601440256931e-02, -1.099314436882654553e-02, -1.029269702002287915e-02, 9.595097520994216866e-03, -2.425152847171594891e-02, 2.814681599051293247e-03, 9.996558783090531142e-01, -3.796846005984972350e-01, -1.285517176686932703e-02, -2.587795526613304725e-02, -2.590587708411198290e-04, -1.154364835214531388e-03, 7.881041694836225103e-03, 3.545272912882583682e-03, 3.584072508700093980e-03, -1.606042746169061494e-02
1520520212218891861, -1.347444079140451834e-01, 9.225985971855036466e-03, -2.365031044985593453e-02, 7.738210356183854687e-03, -2.266862474898284976e-02, 1.158649692428649972e-02, 9.996459406417338434e-01, -4.035300330012923098e-01, 5.492555499195523987e-03, -7.383721487349302615e-03, 1.712419818713051094e-03, -3.256099058750311619e-03, 1.913156045214865330e-04, -2.589450922649077450e-03, 6.540982568094866161e-03, -3.968311947430311348e-02
1520520212268892861, -1.871214436245798030e-01, 1.480396654488836186e-02, -1.830535661571338485e-02, 1.117416857967668507e-02, -2.157207803616310177e-02, 1.435996418308001926e-02, 9.996017080989885173e-01, -4.568621659575450300e-01, -1.810281449123427380e-02, -1.053949048975781969e-02, -1.631669231427554292e-03, -2.477013942098201232e-03, -1.503401088551585031e-03, -5.333622264833870648e-04, -2.843645869816646774e-03, -3.519898526670799110e-02
1520520212318894861, -2.120375709277448062e-01, 1.555705166729296623e-02, -1.400334548883304733e-02, 1.322389585014093621e-02, -1.908986951248939010e-02, 1.332297247805405011e-02, 9.996415376848292178e-01, -4.929705650762845059e-01, -7.938181070396725658e-03, -9.800901234745997698e-03, -2.581112868987830468e-03, -1.556933843231367689e-03, -5.703172840339378437e-04, 4.095290753327246523e-04, -3.276083627125480832e-03, -3.574028783372133755e-02
1520520212368895861, -2.617698746942646038e-01, 1.705165496760991869e-02, -1.936698248438879083e-02, 1.922481892374595241e-02, -1.855812475933663747e-02, 1.041272057417966593e-02, 9.995887042143934975e-01, -5.603595135933308047e-01, -2.017616201594206113e-02, -2.467619644158696238e-02, -2.443655434284510135e-03, -9.305834976102437183e-04, 1.072437894119226742e-04, 7.139022074751204001e-04, -1.748162409867072510e-03, -3.012707657580701928e-02
1520520212418897861, -2.913499150266396498e-01, 1.857616604670753527e-02, -2.259691245036190427e-02, 2.519594179211477603e-02, -1.747146524522930761e-02, 6.715678059143137535e-03, 9.995072846595961513e-01, -5.551327555953066151e-01, -1.542234958497663844e-02, -1.844418283698771865e-02, -2.354296165356945664e-03, -7.954575501125228740e-04, -1.902202828190257991e-04, -3.142248141575028006e-04, -5.132017941318613337e-03, -1.913162151276350323e-02
1520520212468898861, -3.600025093985624314e-01, 1.343254814568746285e-02, -3.178343600522456902e-02, 2.758052472759501064e-02, -2.129802085165635392e-02, 2.116523058093728541e-03, 9.993904288583603801e-01, -5.954508438876168208e-01, -7.771071571934627664e-02, -1.385022743262225887e-02, -1.439835782811833137e-03, -2.586753459247938410e-04, 2.371732425697459202e-04, -4.781410270997678660e-04, 1.012530991735734209e-04, -9.563550619629244270e-03
