# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1398526170378, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.083478640002360289e-03, 8.294039355141717695e-03, 0.000000000000000000e+00, 9.999634333454059387e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398559342690, -4.563808079460079936e-06, 4.561392132038794012e-06, -1.351233202186944565e-05, -1.756006238809669365e-03, 8.440415042386703245e-03, -5.804679584111482388e-05, 9.999628355426870563e-01, -2.231383882735034948e-04, 8.547148089120276280e-05, 6.336214158989606805e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398592518534, -5.588321755306373262e-06, 7.244934685991799572e-06, -2.371325445285794864e-05, -1.648737445700002892e-03, 8.107037348508441821e-03, -1.561704222103056346e-04, 9.999657660245496738e-01, 3.772788309959609421e-04, 1.368867331813534559e-04, 1.248093772466610241e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398625689586, 2.961513780602546830e-05, -1.619510276671537463e-05, 2.983429131425251873e-05, -2.809709920578868855e-03, 7.968822733923984492e-03, 5.338599244728319719e-04, 9.999641585516846343e-01, -2.003788889428682884e-04, -5.359520141601552745e-04, 1.863346636012362667e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398658861743, -6.512851945287938260e-06, 5.338967975904856944e-06, -1.420857357578228508e-05, -1.778277623109590817e-03, 8.322594601706171866e-03, -1.261961005112376480e-04, 9.999637774551312086e-01, -7.720645079250033124e-04, 2.974682754142935360e-04, 2.516710374099541750e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398692126690, 2.186889610994620370e-06, -8.119040547233113969e-07, 5.238538043966442515e-07, -2.075053485498647675e-03, 8.356572373750136354e-03, 6.007113082464750998e-05, 9.999629284341764457e-01, -7.953755503675475095e-04, 1.250257638418284824e-04, 3.126208742672783453e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398725208586, 6.904371929218611204e-07, 1.285631427837274909e-06, -6.521502592007726029e-06, -1.985911264181716360e-03, 8.173796429779328979e-03, -1.283432094165703555e-05, 9.999646218960227539e-01, -9.136318839420826511e-04, 3.662367962682800803e-04, 3.751634023691439307e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398758380691, 9.245250771052967997e-06, -9.666958522679819366e-06, 2.935879186719697609e-05, -2.700095466314625815e-03, 8.276828060589814379e-03, 1.830108137179754855e-04, 9.999620843355863098e-01, -1.175065049212443459e-03, -1.290189065651675031e-04, 4.337400777575537575e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398824725691, -1.021092251515375721e-05, 3.311847966720044001e-06, -3.544687772810348192e-07, -2.067324405875622766e-03, 8.316831131237120353e-03, -2.068049637154330787e-04, 9.999632561856672819e-01, -1.718559233945100850e-03, 7.050340232620948321e-05, 5.561308710036783759e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1398857900691, -9.015348286402635346e-05, -6.359561534847923340e-05, 1.018842821955425741e-06, -2.538517227054062735e-03, 8.129468630836271179e-03, 5.503749193313519299e-05, 9.999637316627753014e-01, -6.018679224948529291e-04, 1.383353958689663389e-03, 7.500805098165148899e-03, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1398891141378, -6.800545394397561338e-06, 1.126700677014230711e-05, -3.958659696352926499e-05, -1.823036769216295578e-03, 8.074193348712104673e-03, -1.709302634996995903e-04, 9.999657267734483046e-01, -7.744431045761140291e-04, 1.473139307300064564e-03, 1.321367243418279311e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1398924245378, -1.567911508818138622e-06, -5.244750197561792726e-06, 2.508021789822227621e-05, -3.178417871178899207e-03, 8.037679871515953853e-03, -8.154065841975051963e-05, 9.999626426588347217e-01, -8.547585785939111223e-04, 1.092856300468105163e-03, 1.871229163834620818e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1398957418430, 3.891603812358757075e-05, 1.754708434550250606e-06, -6.077823653486465888e-05, -1.632678852199598470e-03, 7.299928357432046433e-03, 5.999693788025797997e-04, 9.999718423248158405e-01, -1.129237785844058395e-03, 1.776505377050126852e-03, 2.445810854344893093e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1398990666430, -5.478861902791058724e-06, 9.920896283627245182e-06, -3.557094207237536387e-05, -1.773875133533534768e-03, 8.496484130051105629e-03, -4.465881260967900741e-05, 9.999623298554947137e-01, -1.873874694455183662e-03, 1.590458183818526479e-03, 3.079208734413193746e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1399023765482, 1.685304369099683425e-05, -7.770751816342513774e-06, 1.070015765642761546e-05, -2.809503176740658220e-03, 8.270405523886074917e-03, 3.581731186730747725e-04, 9.999617886681407830e-01, -1.757511460048280082e-03, 1.064161289396940322e-03, 3.628627067417992264e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1399057025431, 1.529303313256569208e-06, -4.983324016286094782e-08, -1.888655782116346882e-06, -2.544741622033580130e-03, 8.273524658305317359e-03, 4.268947410586299837e-05, 9.999625349268913554e-01, -1.939510381733631659e-03, 1.635328441037566839e-03, 4.226875173942915009e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1399090113483, -9.088299436328141356e-06, 5.010848445709259469e-06, -9.305949262531677812e-06, -2.393603852953490613e-03, 8.258993729437972761e-03, -1.801087532781666810e-04, 9.999630129379832866e-01, -1.899465960866396136e-03, 1.520108315488939059e-03, 4.803988127394819008e-02, -1.011834398923395107e-04, -1.301092072600573940e-04, -5.704442226296975297e-05, -1.609155206670781913e-04, -4.439609465092272624e-05, 9.858682906127637022e-03
1399123292326, -1.238057016857393609e-03, -3.308427655243393684e-04, 3.055747046497978470e-04, -1.513917667579751719e-03, 4.973537091944748786e-03, -6.578740815470569727e-05, 9.999864837357091973e-01, -2.467200138610018550e-02, -5.067146781011105418e-03, 1.446138276406899736e-02, -2.217105847361907180e-04, -2.721085887308888188e-04, -1.039095468699313896e-04, 1.397577106347157154e-04, -3.618769093575096652e-05, 1.452900382290040100e-02
1399156530430, 5.663907054045957956e-06, -3.261394006125878375e-05, 1.336161307917147281e-04, -4.381733026389117956e-03, 4.763195355606585427e-03, 6.938317866785230557e-05, 9.999790535664556668e-01, -2.721421825574359826e-02, -5.537676463439201134e-03, 1.998649751690966675e-02, -2.217105847361907180e-04, -2.721085887308888188e-04, -1.039095468699313896e-04, 1.397577106347157154e-04, -3.618769093575096652e-05, 1.452900382290040100e-02
1399189632690, -1.396447235916135465e-03, -2.281128746111326690e-03, 8.095557850374689472e-04, -1.076294851005410664e-03, 5.397142272194967692e-03, -1.022828043056177343e-04, 9.999848508767097410e-01, -2.117028649726451772e-02, -1.906465830639442541e-02, 2.024849034428937919e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399222802430, -1.853816742539583090e-05, 7.095309072072120138e-06, -5.328862296385961095e-06, -9.699933967968202763e-04, 5.567387384775634128e-03, -3.509378825816846068e-04, 9.999839699480790323e-01, -2.321633296449339065e-02, -1.969979265958775663e-02, 2.540607578507436334e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399256059430, 5.455185569224613173e-06, -1.539051131107388448e-05, 5.868722129707525798e-05, -2.052827847158004027e-03, 6.364229204982018231e-03, 3.284072745178055297e-04, 9.999775870653895282e-01, -2.522588244344373815e-02, -2.052182135288433545e-02, 3.072788508148703232e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399289229160, -4.322035675336129146e-06, 1.854301293162038955e-05, -7.283400634525323547e-05, -8.439610586641754385e-05, 3.922541640237508717e-03, -4.403421399993357800e-04, 9.999922062912179888e-01, -2.667104803346289840e-02, -2.075779456653141161e-02, 3.663495500916618547e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399322400639, 7.357659665934226934e-06, 1.457986082833290231e-06, -1.608489635187681371e-05, -8.692317908016828579e-04, 5.184848298232931120e-03, 9.782695996722547051e-05, 9.999861760115007492e-01, -2.985418906622572949e-02, -2.223142490136662680e-02, 4.191836691813481675e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399355562638, -1.549929396386755254e-05, 5.976747615470817676e-06, -4.650351153489239164e-06, -1.075598749071763477e-03, 5.277124002475128833e-03, -3.567114823168668456e-04, 9.999854337971688656e-01, -3.214937599513093686e-02, -2.364007880340915704e-02, 4.748059422309243438e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399388760482, -4.036079384452800900e-06, 3.085856261842573334e-06, -7.738436601944891080e-06, -9.793166726661385428e-04, 5.383153206410329697e-03, -9.286940512356930250e-05, 9.999850268757450866e-01, -3.439054537720948046e-02, -2.420052087594052118e-02, 5.305246561559832236e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399421933482, -4.724879314529396857e-06, 2.300841746124410170e-06, -3.466027111218364376e-06, -9.208020112480338332e-04, 5.852305902997299684e-03, 3.650689524393968737e-06, 9.999824511589923137e-01, -3.616655783319069895e-02, -2.515168409589927517e-02, 5.871711320729840200e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
1399455017326, -2.300152598853043295e-05, 9.019544760575926023e-06, -7.520842454099979646e-06, -8.382278959375179510e-04, 5.840122146578701108e-03, -3.787559916045078572e-04, 9.999825232928855057e-01, -3.795628247773688568e-02, -2.625269319883062266e-02, 6.414944702323154002e-02, -2.997974274413093740e-04, -3.545913051324798507e-04, -1.323390725344042722e-04, -4.285822257300476610e-04, 2.181429482739294639e-03, 1.475237380486396459e-02
