# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1540824274074749211, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.206938201136862829e-02, 7.485729074837853790e-03, 0.000000000000000000e+00, 9.998991418528579977e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274107963419, -1.332329142837576988e-05, 2.657159703701311715e-06, 6.777737905934357737e-05, -1.360171203994813525e-02, 8.026767956284784622e-03, -3.277598536700016625e-04, 9.998752207146833770e-01, 1.110149135969556468e-04, -3.433213191486355264e-04, 5.805261162904969173e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274141134160, -7.245811791387925249e-06, -1.067559891328173638e-06, -5.440051224241918438e-05, -1.082350578204961666e-02, 7.309613797772180309e-03, -1.551167948095852908e-04, 9.999146949652722993e-01, 4.139156516179524643e-04, 3.830356218704337231e-04, 1.332667308255667247e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274174269160, -1.788972994641200784e-05, 9.571225620709500337e-07, 1.623073093043954536e-06, -1.210620995894730670e-02, 7.441675860060766555e-03, -4.118313069433655622e-04, 9.998989406614042785e-01, 2.399164746994480015e-04, -3.036022020656174237e-04, 2.772544216447268362e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274207444211, 7.051434557395165267e-06, 1.004241859357823952e-07, 1.627561823531542898e-05, -1.244308637466978382e-02, 7.535171485650780238e-03, 1.589004406134735632e-04, 9.998941771721667759e-01, -3.521492205552003568e-05, -2.674461861513500452e-04, 5.761322764290205487e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274240614107, -2.001220772883589329e-05, 3.675326061138017852e-06, 8.935759957493340840e-05, -1.414641337699197067e-02, 7.081496150586541125e-03, -4.695948398384895413e-04, 9.998747475966792697e-01, -3.728574163620329432e-04, -7.952445573584213698e-05, 2.775327185080708964e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274273787159, 7.516078153896191619e-05, -2.283400041738076203e-06, 4.826752281398855732e-05, -1.321827881160238943e-02, 6.982736756127295129e-03, 1.731600380507379100e-03, 9.998867536140159107e-01, -9.088082718695763207e-04, 1.613980467209913871e-03, 4.458923946464952038e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274306961160, 2.187665007616400661e-05, -4.001263250903719371e-07, 2.465108481715361753e-05, -1.267000854349116523e-02, 6.907640869798977248e-03, 5.089246594478358645e-04, 9.998957427536196985e-01, -1.458291322552937499e-03, 2.137862104396853497e-03, 3.525139603023649620e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274340137003, 4.746446384016320998e-05, -4.473909993057967327e-06, -8.260477279683055372e-05, -1.017225862292746134e-02, 7.508084415723993363e-03, 1.107532872232626017e-03, 9.999194603536085690e-01, -1.747952411426153662e-03, 2.221496722785334509e-03, -5.417197797726971183e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274373307003, 1.005077212334988188e-04, -6.539409724046207906e-06, -6.462756418847376109e-05, -1.063235792032057175e-02, 6.737818163143131402e-03, 2.336968655465489209e-03, 9.999180433160300696e-01, -1.812852706630709455e-03, 8.216909100573408214e-04, -7.474073568773246298e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274406480159, -1.010672491197177336e-05, -3.626163597485881906e-06, -1.754774654560057700e-04, -8.107627507561903160e-03, 5.844400940398582385e-03, -1.843164619407854706e-04, 9.999500364424657173e-01, -2.078576025940156655e-03, -4.634588314893575440e-05, -1.265063641295764620e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274439652107, -2.308601090878067627e-05, 2.382663876622503896e-06, 4.204095407871373535e-05, -1.307957254784978054e-02, 6.610131455322441202e-03, -5.250813089590823267e-04, 9.998924718357109498e-01, -3.358801760737427713e-03, -2.500139920306110580e-03, -1.336671652297020214e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274472867471, -2.725149753397913127e-06, 6.386678536134116069e-07, 1.784965698128579154e-05, -1.253227874740400760e-02, 6.463452001162750191e-03, -4.993151146100797944e-05, 9.999005766997388633e-01, -4.170485681836243533e-03, -1.765083708129981492e-03, -1.326851958704631726e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274506069315, 1.123758057693362983e-05, 4.733346766344626033e-07, 3.647672298317269999e-05, -1.296984125874338194e-02, 6.336788231213891232e-03, 2.710533007353208099e-04, 9.998957719996340865e-01, -4.915760600665778322e-03, -1.488473514349249313e-03, -1.526789966271819253e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274539243315, -4.274651096669644483e-05, 1.997144038774073538e-06, -7.539101159355506530e-06, -1.186220780001823530e-02, 8.000701398925081156e-03, -9.914316545365602345e-04, 9.998971416433337644e-01, -6.200412517202146326e-03, -1.050857039001975570e-03, -1.981575381663625360e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274572344107, 3.784387428686086796e-06, -1.861009124064921805e-06, -6.382354714781995984e-05, -1.062277124094899994e-02, 7.019502050329261972e-03, 1.046011572607825045e-04, 9.999189329044260166e-01, -5.896979768135442515e-03, -5.395785141275196133e-04, -2.412717544894553943e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274605517159, -4.487344482211269928e-06, 3.206018423962397890e-06, 9.950859275891670887e-05, -1.432938485608012749e-02, 8.128274743106012057e-03, -1.318009801767155141e-04, 9.998642820442426027e-01, -6.594738232773411819e-03, -1.838972362835275196e-03, -2.644040389173363953e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274638691055, 4.112998483752033745e-05, -1.076525888106527606e-06, 3.394438991133612738e-05, -1.287209658279848436e-02, 7.206078706989514984e-03, 9.462881497739539715e-04, 9.998907370797919247e-01, -6.642430596267135876e-03, -4.403207264947767846e-04, -2.648743615231288935e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274671935108, -4.150135409791504658e-05, 1.236979917496050518e-06, -3.356835466902699083e-05, -1.134171890518618012e-02, 6.469550588338102322e-03, -9.358758463387023205e-04, 9.999143135608475896e-01, -6.960478474969326868e-03, -8.883289977584297743e-05, -2.754598138119964713e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274705036055, 3.341185980274821374e-05, -2.389965934070786835e-06, -2.686959320811457743e-05, -1.147491572600511933e-02, 7.096741762262539707e-03, 7.801369234365336872e-04, 9.999086728055827100e-01, -7.938381807346264057e-03, -8.340115851785274417e-04, -2.806276355460243614e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1540824274738209159, 3.716861990375047720e-05, -2.095574272512057412e-06, -9.028496278021291323e-06, -1.185114496989048138e-02, 7.807664905208152976e-03, 8.531297255304255570e-04, 9.998989263427089380e-01, -8.559704106531666745e-03, -1.510382339905359719e-03, -3.499715843492143784e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
