# timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
624627695196, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.540085689352313311e-03, 4.430738351627282190e-02, 0.000000000000000000e+00, 9.989723932777030413e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624660824144, -1.160082763656394844e-05, 2.503004362907831903e-05, 1.283848204330917397e-05, -1.000109181990623160e-02, 4.419851057641241421e-02, -2.307146031420765123e-04, 9.989726806054350927e-01, 1.230976361188156260e-04, 3.640669008269755889e-04, 1.223819061844921233e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624694036196, 2.375904331396866409e-06, 1.297363281680188885e-05, 1.899893467603719355e-05, -9.910101937943491257e-03, 4.440733468269368600e-02, -3.722206163730896230e-05, 9.989643522771355366e-01, 3.874446879768879415e-04, 1.128372337936746610e-03, 2.729097727040242886e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624727397249, -1.937050077133878334e-06, -8.544151616912687430e-06, -1.307892355653650363e-05, -9.326557648009126469e-03, 4.420572305044935535e-02, 4.291762496183065465e-05, 9.989789124551643473e-01, 8.048223149399885441e-04, 1.578400858697875811e-03, 3.905111674329566750e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624760344196, 2.228887986909650065e-06, 3.411907565815941457e-06, 7.359400809623523054e-06, -9.689967525940375304e-03, 4.434173644041192186e-02, 2.268987085485515658e-05, 9.989694261707738887e-01, 1.220156910849586746e-03, 1.593609844352711184e-03, 5.328897624007734347e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624793515404, 3.905780861134661164e-06, -4.127159333622287818e-06, 8.103863373305764117e-07, -9.658242703211118718e-03, 4.423275032711811161e-02, 1.569276556788602565e-04, 9.989745529892619658e-01, 1.282295419434200615e-03, 2.170090735971989034e-03, 6.221388151561765313e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624826689353, 7.681885466036264543e-07, -7.584571882181950775e-06, -7.945764513885011926e-06, -9.437882675964511664e-03, 4.422502500379020540e-02, 9.199763989760577603e-05, 9.989770092802152668e-01, 1.190773426373493808e-03, 2.487938631913958528e-03, 7.103026499928232623e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624859861248, 9.499363398959848048e-06, -3.346898538626741360e-07, 1.357162440023332306e-05, -9.767286456620536544e-03, 4.441345941141468939e-02, 1.480713756818919529e-04, 9.989654762869699667e-01, 1.679179538996577233e-03, 2.875548997851311035e-03, 8.746985194352879800e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624893118560, -6.214800936113484831e-06, 6.245291095642591106e-06, -1.678492123451114093e-06, -9.292966166581480975e-03, 4.446502869480284392e-02, -2.790975887554586260e-04, 9.989676792106606529e-01, 1.751166755024571690e-03, 3.473934640025980701e-03, 1.021291465119057371e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
624926255248, -1.260463138868031518e-05, -3.279690497293152873e-06, -2.249477635478044912e-05, -9.280977329574221363e-03, 4.404034322428294207e-02, -9.480769393975928164e-05, 9.989866378685935411e-01, 2.044917657348607233e-03, 3.537384093467406312e-03, 1.145254853200324344e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
